,nama_user,rating,waktu,ulasan,preprocessing,stemming_ulasan
20,Mama Radi,5,2022-06-22 19:57:57,Sy kasi bintang 5 untuk wilayah pekanbaru... Penanganan cepat..! 20 menit setelah pengaduan petugas langsung datang.. Cukup lengkapi form pengaduan dalam aplikasi dan petugas langsung merespon.. Mantappp..,"['kasih', 'bintang', 'wilayah', 'pekanbaru', 'penanganan', 'cepat', 'menit', 'pengaduan', 'petugas', 'langsung', 'lengkapi', 'form', 'pengaduan', 'aplikasi', 'petugas', 'langsung', 'merespon', 'mantapp']",kasih bintang wilayah pekanbaru tangan cepat menit adu tugas langsung lengkap form adu aplikasi tugas langsung merespon mantapp
21,PIQIH NURBANY,1,2022-06-22 18:44:57,Saat baru daftar berkali di wa utk melakukan pembayaran giliran udh bayar ternyata teknisinya bilang gak bsa pasang Giliran minta duit balik prosesnya ribet.,"['daftar', 'berkali', 'whatsapp', 'pembayaran', 'giliran', 'bayar', 'teknisinya', 'bilang', 'pasang', 'giliran', 'uang', 'prosesnya', 'ribet']",daftar kali whatsapp bayar gilir bayar teknisi bilang pasang gilir uang proses ribet
22,Amrin Butudoka,5,2022-06-22 18:40:03,"Aplikasi sangat membantu krna bs cek tagihan listrik, pasang baru, migrasi, tambah daya dan pengaduan jg, Mantap☝👍","['aplikasi', 'membantu', 'cek', 'tagihan', 'listrik', 'pasang', 'migrasi', 'daya', 'pengaduan', 'jg', 'mantap']",aplikasi bantu cek tagih listrik pasang migrasi daya adu jg mantap
23,Hera Destaria,5,2022-06-22 16:18:57,Aplikasi yang sangat membantu. Satu aplikasi dengan berbagai fitur kelistrikan. Penanganan laporan listrik padam sangat cepat tanggap.,"['aplikasi', 'membantu', 'aplikasi', 'fitur', 'kelistrikan', 'penanganan', 'laporan', 'listrik', 'padam', 'cepat', 'tanggap']",aplikasi bantu aplikasi fitur listrik tangan lapor listrik padam cepat tanggap
24,MAS ERWIND OFFICIAL,3,2022-06-22 14:30:01,"Tolong dong diupgrade untuk di tambah riwayat penggunaan listrik harian , supaya kita bisa lebih mudah lagi mengontrol penggunaan listrik setiap harinya , terimakasih","['tolong', 'diperbarui', 'riwayat', 'penggunaan', 'listrik', 'harian', 'mudah', 'mengontrol', 'penggunaan', 'listrik', 'harinya', 'terima', 'kasih']",tolong baru riwayat guna listrik hari mudah kontrol guna listrik hari terima kasih
25,Suparman BP,5,2022-06-22 13:33:07,"Mantap PLN, lapor gangguan jadi lebih mudah. Bisa mengetahui harga pasang meteran listrik, tambah daya dgn mudah dan terbuka. Dan ternyata bisa jg belanja keperluan sehari hari loh di Market place nya. Sukses terus PLN","['mantap', 'pln', 'lapor', 'gangguan', 'mudah', 'harga', 'pasang', 'meteran', 'listrik', 'daya', 'mudah', 'terbuka', 'belanja', 'keperluan', 'sehari', 'loh', 'market', 'place', 'nya', 'sukses', 'pln']",mantap pln lapor ganggu mudah harga pasang meter listrik daya mudah buka belanja perlu hari loh market place nya sukses pln
26,Firda Meiliani,5,2022-06-22 13:23:05,"Pelayanan sangat ramah, cepat ditangani, gak perlu ribet dan gak perlu biaya kalau ingin pengaduan masalah ttng PLN","['pelayanan', 'ramah', 'cepat', 'ditangani', 'sulit', 'biaya', 'pengaduan', 'pln']",layan ramah cepat tangan sulit biaya adu pln
27,AAA Channel,1,2022-06-22 13:16:20,"Aplikasinya kurang bagus... 1. Untuk permohonan ubah daya hanya muncul pilihan untuk tambah daya saja, sedangkan untuk TURUN daya tidak ada. 2. Aplikasi Live Chat tidak berfungsi, karena tombol keyboard digital nya tidak muncul, jadi tidak bisa ketik apapun sampai time out. 3. Terlalu berbelit-belit dengan prosedur untuk permohonan penurunan daya. Giliran naik daya gampang banget. Harap jangan berbelit-belit. Tolong diperbaiki.","['aplikasinya', 'bagus', 'permohonan', 'ubah', 'daya', 'muncul', 'pilihan', 'daya', 'turun', 'daya', 'aplikasi', 'live', 'chat', 'berfungsi', 'tombol', 'keyboard', 'digital', 'nya', 'muncul', 'ketik', 'apapun', 'time', 'out', 'berbelit', 'belit', 'prosedur', 'permohonan', 'penurunan', 'daya', 'giliran', 'daya', 'gampang', 'banget', 'harap', 'berbelit', 'belit', 'tolong', 'diperbaiki']",aplikasi bagus mohon ubah daya muncul pilih daya turun daya aplikasi live chat fungsi tombol keyboard digital nya muncul ketik apa time out belit belit prosedur mohon turun daya gilir daya gampang banget harap belit belit tolong baik
28,Mulyono Pekanbaru,1,2022-06-22 12:02:42,Tidak ada perubahan di aplikasi ini. Saya sudah mendatangi konter pelayanan pln di mpp pekanbaru.petugas juga ngak paham mengenai apa yg di tampilkan di aplikasi khususnya tampilan pelaporan pengaduan ganguan listrik padam. Masih menunjukan data masih kosong. Lebih bagus aplikasi yg lama bisa buat laporan pengaduan jika ada listrik padam.,"['perubahan', 'aplikasi', 'counter', 'pelayanan', 'pln', 'mpp', 'pekanbaru', 'petugas', 'paham', 'tampilkan', 'aplikasi', 'tampilan', 'pelaporan', 'pengaduan', 'gangguan', 'listrik', 'padam', 'menunjukan', 'data', 'kosong', 'bagus', 'aplikasi', 'laporan', 'pengaduan', 'listrik', 'padam']",ubah aplikasi counter layan pln mpp pekanbaru tugas paham tampil aplikasi tampil lapor adu ganggu listrik padam tunjuk data kosong bagus aplikasi lapor adu listrik padam
29,Muhammad Faisal Darmawan,5,2022-06-22 11:14:30,"Terima kasih PLN Mobile, fitur - fiturnya menarik, aksesnya ga ribet, pelanggan jadi lebih dipermudah dengan hadirnya aplikasi ini. PLN Mobile kerennya 1% yang 99% keren banget. Semoga makin lengkap","['terima', 'kasih', 'pln', 'mobile', 'fitur', 'fiturnya', 'menarik', 'aksesnya', 'ribet', 'pelanggan', 'dipermudah', 'hadirnya', 'aplikasi', 'pln', 'mobile', 'kerennya', 'keren', 'banget', 'semoga', 'lengkap']",terima kasih pln mobile fitur fiturnya tarik akses ribet langgan mudah hadir aplikasi pln mobile keren keren banget moga lengkap
30,robi prawira,5,2022-06-22 10:50:24,"Setelah diupdate aplikasi jadi lebih ringan dan banyak fitur2 baru yang sangat membantu, mantap PLN. Pertahankan","['diperbarui', 'aplikasi', 'ringan', 'fitur', 'membantu', 'mantap', 'pln', 'pertahankan']",baru aplikasi ringan fitur bantu mantap pln tahan
31,Dadang Setiawan,2,2022-06-22 10:28:33,1. Chat Message tidak muncul Keyboard. 2. Kalau laporan pengaduan status selesai tp riilnya belum mesti tlp ke 123 tidak ada fitur diaplikasinya. Selebihnya sudah baik.,"['chat', 'message', 'muncul', 'keyboard', 'laporan', 'pengaduan', 'status', 'selesai', 'aslinya', 'mesti', 'telepon', 'fitur', 'diaplikasinya', 'selebihnya']",chat message muncul keyboard lapor adu status selesai asli mesti telepon fitur aplikasi lebih
32,Riyadi Ebta Nagara,1,2022-06-22 10:26:49,"Saya sudah bayar dan ada bukti'a, di apk PLN mobile masih ada tagihan....dan kenapa ada pajak penerangan jalan ( ppj ) ditagihan saya, ppj dibayar oleh pemerintah","['bayar', 'bukti', 'a', 'aplikasi', 'pln', 'mobile', 'tagihan', 'pajak', 'penerangan', 'jalan', 'ppj', 'ditagihan', 'ppj', 'dibayar', 'pemerintah']",bayar bukti a aplikasi pln mobile tagih pajak terang jalan ppj tagih ppj bayar perintah
33,Nurhadi S. K.,5,2022-06-22 08:45:37,"Kalau info gangguan jadi mudah, ga perlu telp. Tinggal lihat progresnya di aplikasi.","['informasi', 'gangguan', 'mudah', 'telp', 'tinggal', 'lihat', 'progresnya', 'aplikasi']",informasi ganggu mudah telp tinggal lihat progres aplikasi
34,Sach Rizal,5,2022-06-22 07:33:30,"Semua komplit dalam aplikasi pln mobile, sangat membantu jika ada permasalahan soal kelistrikan, mantap.","['komplit', 'aplikasi', 'pln', 'mobile', 'membantu', 'permasalahan', 'kelistrikan', 'mantap']",komplit aplikasi pln mobile bantu masalah listrik mantap
35,oetomo 2107,5,2022-06-21 23:12:25,"Aplikasi ini sangat membantu saya ketika ada masalah tentang listrik di rumah saya. Fast respon dari petugas, ramah dan santun.. Salut untuk operator dan juga petugas lapangan 👍👍","['aplikasi', 'membantu', 'listrik', 'rumah', 'fast', 'respon', 'petugas', 'ramah', 'santun', 'salut', 'operator', 'petugas', 'lapangan']",aplikasi bantu listrik rumah fast respon tugas ramah santun salut operator tugas lapang
36,Boyman Zai,1,2022-06-21 22:09:54,"Aplikasi di pilihan pengaduan tidak berjalan dengan baik, bukanya mempermudah malah mempersuli pengguna. sudah 3 hari berturut turut saya coba malah gak bisa bisa, aplikasi selalu error dan selalu kembali kehalaman utama jika di gunakan.","['aplikasi', 'pilihan', 'pengaduan', 'berjalan', 'mempermudah', 'mempersulit', 'pengguna', 'coba', 'aplikasi', 'error', 'kehalaman', 'utama']",aplikasi pilih adu jalan mudah sulit guna coba aplikasi error halaman utama
37,Alfathur jr,4,2022-06-21 17:39:27,"Pelayanannya cepat tanggap, petugasnya ramah dan baik kerjanya. Untuk masukan di aplikasi ini, pada samsung galaxy a51 bagian live chat tidak muncul fungsi keyboard jadi gak bisa dipakai. Selebihnya mantap, semangat kakak2 🔥🔥","['pelayanannya', 'cepat', 'tanggap', 'petugasnya', 'ramah', 'kerjanya', 'masukan', 'aplikasi', 'samsung', 'galaxy', 'a', 'live', 'chat', 'muncul', 'fungsi', 'keyboard', 'dipakai', 'selebihnya', 'mantap', 'semangat', 'kakak']",layan cepat tanggap tugas ramah kerja masuk aplikasi samsung galaxy a live chat muncul fungsi keyboard pakai lebih mantap semangat kakak
38,Muhamad Dhaniel,5,2022-06-21 16:26:53,"Bagus sekali aplikasinya, ada pemantau pembayaran tiap bulan, pembayaran tagihan jadi lebih mudah, juga pilihan alat pembayaran juga banyak, semoga lebih baik lagi","['bagus', 'aplikasinya', 'pemantau', 'pembayaran', 'pembayaran', 'tagihan', 'mudah', 'pilihan', 'alat', 'pembayaran', 'semoga']",bagus aplikasi pantau bayar bayar tagih mudah pilih alat bayar moga
39,yeni yuliasti,5,2022-06-21 15:34:06,"Pln mobile aplikasi yg sangat membantu dalam masalah perlistrikan. Mau pasang baru, tambah daya atau beli token listrik menjadi lebih mudah. Semangad tingkatkan trus pelayanan dari pln.","['pln', 'mobile', 'aplikasi', 'membantu', 'perlistrikan', 'pasang', 'daya', 'beli', 'token', 'listrik', 'mudah', 'semangat', 'tingkatkan', 'pelayanan', 'pln']",pln mobile aplikasi bantu listrik pasang daya beli token listrik mudah semangat tingkat layan pln
40,ichsan rahmadi,5,2022-06-21 15:28:12,Sangat memuaskan & sangat mudah Melakukan transaksi pembelian token maupun pembayaran tagihan rekening listrik. Melakukan Laporan pengaduan Gangguan pun lebih mudah dan bisa tracking progress laporan,"['memuaskan', 'mudah', 'transaksi', 'pembelian', 'token', 'pembayaran', 'tagihan', 'rekening', 'listrik', 'laporan', 'pengaduan', 'gangguan', 'mudah', 'tracking', 'progress', 'laporan']",muas mudah transaksi beli token bayar tagih rekening listrik lapor adu ganggu mudah tracking progress lapor
41,Mr. Ting Onk,5,2022-06-21 15:20:25,"Terbaik nih aplikasi... Bisa beli token langsung, historis beli token juga ada, mau laporan gangguan mudah & gerak cepat layanannya..makasih PLN","['terbaik', 'aplikasi', 'beli', 'token', 'langsung', 'historis', 'beli', 'token', 'laporan', 'gangguan', 'mudah', 'gerak', 'cepat', 'layanannya', 'makasih', 'pln']",baik aplikasi beli token langsung historis beli token lapor ganggu mudah gerak cepat layan makasih pln
42,Krisna hermianiasti p,5,2022-06-21 14:58:20,"Sangat membantu untuk melakukan pembayaran tagihan listrik ataupun pembelian token, dan sering tampil notifikasi klo memang ada pemeliharaan gituu Seneng deh karna klo pake va bank adminnya murah juga klo di apk ini Good job PLN","['membantu', 'pembayaran', 'tagihan', 'listrik', 'pembelian', 'token', 'tampil', 'pemberitahuan', 'kalo', 'pemeliharaan', 'senang', 'deh', 'kalo', 'pakai', 'va', 'bank', 'adminnya', 'murah', 'kalo', 'aplikasi', 'bagus', 'job', 'pln']",bantu bayar tagih listrik beli token tampil pemberitahuan kalo pelihara senang deh kalo pakai va bank adminnya murah kalo aplikasi bagus job pln
43,Iim Badi Nursiam,5,2022-06-21 14:47:11,"Base on true story : # Layanan pengaduan gangguan nya sangat bagus & informative👍 #Penanganan gangguan nya sangat cepat, safety first & profesional 👍 # Aplikasi ini user friendly banget 👍 Luar biasa untuk PLN, Semoga Semakin Jaya","['base', 'on', 'true', 'story', 'layanan', 'pengaduan', 'gangguan', 'nya', 'bagus', 'informative', 'gangguan', 'nya', 'cepat', 'safety', 'first', 'profesional', 'aplikasi', 'user', 'friendly', 'banget', 'pln', 'semoga', 'jaya']",base on true story layan adu ganggu nya bagus informative ganggu nya cepat safety first profesional aplikasi user friendly banget pln moga jaya
44,tresiana liu,5,2022-06-21 14:44:56,Terima kasih sebelumnya dari tim Pln padang. Semalam saya komplain pemadaman listrik akibat trafo meledak. Alhamdulillah jam 11 malam sudah menyala lg listrik nya. Pln cepat tanggap,"['terima', 'kasih', 'tim', 'pln', 'padang', 'semalam', 'komplain', 'pemadaman', 'listrik', 'akibat', 'trafo', 'meledak', 'alhamdulillah', 'jam', 'malam', 'menyala', 'listrik', 'nya', 'pln', 'cepat', 'tanggap']",terima kasih tim pln padang malam komplain madam listrik akibat trafo ledak alhamdulillah jam malam nyala listrik nya pln cepat tanggap
45,Priscilla Andrian,3,2022-06-21 13:36:56,Aplikasi awalnya tidak membantu. Pemasangan Iconnet.. Daftar tgl 2 tidak ada update berhari2. Hingga saya memberi bintang rendah dan membuat petugas menghubungi saya. Setelah itu baru ada follow up dan dipasang tgl 15🙂. Terima kasih follow up nya ya. Maka sudah saya rubah ya bintangnya. Utk appny masih sama. Perlu dibenahi.,"['aplikasi', 'membantu', 'pemasangan', 'iconnet', 'daftar', 'tanggal', 'perbarui', 'berhari', 'bintang', 'rendah', 'petugas', 'menghubungi', 'follow', 'up', 'dipasang', 'tanggal', 'terima', 'kasih', 'follow', 'up', 'nya', 'ya', 'ubah', 'iya', 'bintangnya', 'aplikasinya', 'dibenahi']",aplikasi bantu pasang iconnet daftar tanggal baru hari bintang rendah tugas hubung follow up pasang tanggal terima kasih follow up nya ya ubah iya bintang aplikasi benah
46,Sri Munarsih,5,2022-06-21 13:32:03,"Wooow,,, aplikasi nya keren bgt.. Semua informasi tentang PLN ada di aplikasi ini nih. Selain bisa pengaduan gangguan, kita juga bisa beli token listrik, bayar rekening listrik, pasang baru, perubahan daya, bahkan bisa baca meter mandiri. Gak rudi deh download aplikasi ini. Pln mobile,, luarr biasa..👍🏻👍🏻👍🏻","['woow', 'aplikasi', 'nya', 'keren', 'bgt', 'informasi', 'pln', 'aplikasi', 'nih', 'pengaduan', 'gangguan', 'beli', 'token', 'listrik', 'bayar', 'rekening', 'listrik', 'pasang', 'perubahan', 'daya', 'baca', 'meter', 'mandiri', 'rugi', 'deh', 'unduh', 'aplikasi', 'pln', 'mobile']",woow aplikasi nya keren bgt informasi pln aplikasi nih adu ganggu beli token listrik bayar rekening listrik pasang ubah daya baca meter mandiri rugi deh unduh aplikasi pln mobile
47,Warisman Warisman j,5,2022-06-21 13:09:31,"Aplikasi yang sangat bagus, memumdahkan kita untuk memanagemen kelistrikan bangunan kita, memudahkan semua hal tentang kelistrikan, pokoknya its the best... Yang ga download nyeseel","['aplikasi', 'bagus', 'memudahkan', 'memanagemen', 'kelistrikan', 'bangunan', 'memudahkan', 'kelistrikan', 'pokoknya', 'its', 'the', 'best', 'unduh', 'nyesel']",aplikasi bagus mudah memanagemen listrik bangun mudah listrik pokok its the best unduh nyesel
48,Ainun Jpr,2,2022-06-21 13:02:45,Setiap mau pengaduan data kosong padahal dulu itu bisa setelah di update malah g bisa jadi males instal app ini,"['pengaduan', 'data', 'kosong', 'perbarui', 'malas', 'instal', 'aplikasi']",adu data kosong baru malas instal aplikasi
49,Alkha Dafi,5,2022-06-21 12:22:51,"Aplikasi yang sangat bagus , lancar setiap pembelian token ,apalagi bebas biaya admin kalo pakai mbanking mandiri...the best lah...... Saya suke saya suke..................","['aplikasi', 'bagus', 'lancar', 'pembelian', 'token', 'bebas', 'biaya', 'admin', 'pakai', 'mbanking', 'mandiri', 'the', 'best', 'suka', 'suke']",aplikasi bagus lancar beli token bebas biaya admin pakai mbanking mandiri the best suka suke
50,Candrawandi,5,2022-06-21 10:04:02,"Mantap,, mempermudah pelayanan pelanggan pln , sudah komplit fitur2 nya, mudah2n bisa lebih renponsip dr sisi tanggapan pelayanan nya","['mantap', 'mempermudah', 'pelayanan', 'pelanggan', 'pln', 'komplit', 'fitur', 'nya', 'mudah', 'mudahan', 'responsif', 'sisi', 'tanggapan', 'pelayanan', 'nya']",mantap mudah layan langgan pln komplit fitur nya mudah mudah responsif sisi tanggap layan nya
