stemming_ulasan,label
selamat sore min serta kru segenap manajemen moga sehat lahir batin maaf saran app nya aplikasi telepon cantum sisa pulsa voucher listrik hubung nomor meter voucher otomatis isi beli input manual sekian terimakasih salam hormat sehat,positif
informasi baru madam ganggu bayar tagih mudah banget fitur monitoring tagih jujur bantu sih terima kasih pln inovasi layan baik langgan,netral
gampang aplikasi daya pasang mudah beli token aplikasi layan ganggu cepat respon recoverynya terima kasih pln,positif
mudah adu aplikasi pln mobile versi baru mana zona adu batal alas lapor ulang,positif
aplikasi baru user friendly bantu lapor adu fast respon mudah transaksi bayar listrik iconnet mantap pln baru fitur baru,positif
aplikasi lapor cepat tanggap informasi ganggu panik informasi tagih baca meter keluh ganggu mudah dasar aplikasi bagus guna,positif
pusat cepet orang lapang jelek aplikasi masak lapor telpon asih jelas orang lokasi maaf tunggu aja aplikasi nya asih informasi tangan tangan,netral
aplikasi bagus mudah langgan informasi putar pln khusus langgan pascabayar kirim catat pakai bulan fitur catat meter tanggal langsung estimasi tagih,netral
maaf bintang menu aju mohon pasang ribet kendala verifikasi nidi kantor urus nidi tolong baik mudah mesti sulit kantor manfaat aplikasi klik mana rasa mudah terima kasih,negatif
bantu manfaat usaha jual pulsa listrik lunas reklis coba market place pln mobile lho ngembangin usaha ayo gabung,netral
aplikasi bagus repot kantor pln ganggu listrik rumah beli token biaya admin bank pokok bagus deh genggam,negatif
aplikasi bantu kali input tokennya gagal nomor tokennya adu jam langsung respon input token beli pln mobile joss,netral
aplikasi bantu telepon cc kantor pln langsung pln mobile mana pasang ubah daya cek tagih listrik lapor keluh ganggu aplikasi,netral
bantu aju adu jls pilih masalah klik muncul ksong smua orang klik masuk id suami tulis kosong klik tulis bingung,negatif
iconnet iya kak muncul iconnet daftar tercover,netral
bantu banget deh ganggu listrik malem banget pakai fitur adu enak tracking tugas banget daftar daya promo aplikasi,netral
aplikasi bantu adu via aplikasi respon cepat beli token listrik mudah,positif
terima kasih aplikasi keren baik cepat koneksi fitur tingkat tracking tugas yantek,positif
bantu sih kali mati listrik tangan lambat inisiatif,negatif
aplikasi pln mobile langgan bantu ganggu keluh langsung aplikasi cepat respon tugas krenn,positif
manfaat nyaman layan listrik pln baik mudah pakai pln mobile edit versi baru canggih keren,positif
canggih aplikasi mohon fitur kece history bayar beli pulsa,positif
manfaat bayar pemberitahuan madam mohon mengupgrade informasi putar layan pln langgan puas tingkat profesionalisme sdm,positif
transaksi hasil saldo rekening kurang tagih sebentar tanggal kalo tangan kena denda nih brengsek dasar lot ngerefresh iya ilanglah transaksi,netral
aplikasi bantu banget aplikasi lengkap adu layan terima kasih pln,positif
layan responnya cepat luar duga tugas ramah kompeten terima kasih pln moga layan baik,positif
knp bayar tagih pln mobile sukses tp coba bayar indomaret alfa mart bayar terang bayar jd bayar double tolong jelas,positif
fitur lengkap tampil erti masyarakat aplikasi terima kasih pln genggam,positif
kasih bintang aja puas pasang daya oke ubah tarif sih mudah komplit,positif
aplikasi bagus cocok guna listrik pln ubah daya mudah simulasi biaya tarik fitur pln magazine tambah wawas guna,positif
alhamdulillah layan keluh gagal masuk pulsa tulis periksa cepat direspon terima kasih pln moga maju,positif
aplikasi bantu ganggu listrik lapor aplikasi cepat tanggap cepat aplikasi fiturnya beli pulsa,positif
tolong wifi jalan internetnya status aplikasi bayar bayar tolong adminnya fast respon,netral
aplikasi nya bantu butuh listrik ganggu langsung notifnya beli token listrik pakai va mandiri by admin kadang suka muncul token nya sinyal dikit oh iya proses verifikasi akun nya tolong cepat iya,positif
bantu dipln mobile aplikasi mudah kantor mudah teratasii terima kasih pln,netral
tentu titik lokasi desa harap camat pondok kelapa bengkulu muncul kota kab kota bengkulu lanjut transaksi aplikasi kasih bintang kembang aplikasi pln sigap tanggap baik lapor alhamdulillah selesai bintang layak moga depan aplikasi powerful manfaat,positif
ganggu tangan komplain koneksi mulu,netral
verifikasi akun tele tele log suruh verifikasi akun biar fitur langsung,netral
aplikasi memmbantu ganggu lapor aplikasi langsung tanggap teknisi nya ramah layan,positif
aplikasi pln mobile manfaat atas masalah listrik rumah download wajib unduh ni mudah,netral
aplikasi buruk c aplikasi kelas pln fiturnya lapor ganggu,netral
aplikasi muas aju layan belit belit chat customer layan sulit ngetiknya cepat suka layan cs via telepon,netral
aplikasi baru she tahun bayar aplikasi daftar daftar id langgan login log out she lupa id nya rantau bayar listrik kampung kota bayare sulit,negatif
terima kasih pln semenjak pln mobile banget bantu ganggu tinggal lapor respek banget cepat layan,positif
terima kasih pln aplikasi bantu fitur beli token rubah daya pasang listrik ku adu dll rumah kantor pln rumah aplikasi pln mobil notifnya sukses pln,positif
aplikasi beli token listrik gopay masuk saldo gopay potong hubung cs suruh email email suruh tunggu listrik rumah mati aplikasi,netral
aplikasi aplikasi kayak data aman masuk,netral
aplikasi keren pelayananya cepat ribet pln mobile listrik masalah pribadi listrik tetangga,positif
bantu pln mobile fitur batal adu,netral
aktif atur pemberitahuan madam listrik contoh madam notifikasi,netral
bantu beli token listrik via atm struk resi nya jam kerja bank tutup langsung buka pln mobile,positif
layan adu hilang klik atas adu atas mana aplikasi,netral
mantap aplikasi mudah kwh mudah bayar internetnya responnya cepat pln moga jaya,positif
kemarin bintang bintang lumayan bagus apl a kendala a saldo kasih masuk kemarin ambil bayar nomor token a mode tukar hadiah a rilis,netral
lapor meter tulis periksa kirim foto kirim foto langsung aplikasi kali kali iya telepon call center habis pulsa enggak rb call centernya saran lapor aplikasi kayak atas iya aplikasi,netral
layan by call center ok layan pln teknis nya tingkatakan karna alas sesuai lapang survey tnpa hubung konsumen putus alas jaring pokok kena langgan aju mohon pasang listrik tolong tingkat layan depan nya maju terimakasih,positif
aplikasi nya kapai kalo fungsi nya coba hilang jaring ya bagus centang live chat skali,netral
aplikasi bagus guna pasang lai terima kasih pln mobile,netral
chat cs etik pesan aplikasi nya pln mobile maksimal ya aplikasi nya,positif
kompeten janji lapor error aplikasi bilang nyala lapang mati kalo kasih bintang sibuk telepon kasih bintang janji manis iya bu proses mohon bantu kasih bintang whatt,positif
layan bagus maksimal pribadi hubung pln tolong tetangga mohon maklum,positif
mohon maaf menu live chat error etik tunggu antri kali kali kali,netral
bantu kali adu layan susah lapor kantor pln susah rumah baik masalah listrik pokok aplikasi bagus,netral
aplikasi kasih star loading nya buka aplikasi pindah pindah menu golong delay jeda kapasitas aplikasi ringan guna aplikasi useful banget responnya pakai layan ribet langsung arah pakai telepon w a keren adu pln nyaman,positif
kasih bintang bentuk apresiasi dukung nyata beda pln usaha benah depan saran mohon tingkat kualitas servernya sistem beda daftar riwayat aju status transaksi bingung langgan sendiri sah status server,positif
bingung adu aplikasi sederhana responnya adminnya cekat cepat tanggap sukses,positif
mohon maaf kasih rating jelek aju pasang sulit nya ampun urus nidi slo pisah urus nidi slo pln langsung pintu aplikasi kesana kesini nya aplikasi biar mudah iya,negatif
fitur aplikasi manfaat praktis bayar token listrik rumah transaksi nya cepat masuk moga tahan sistem nya,positif
tanggap token pakai gagal pilih adu menit pln telepon kasih tunjuk,netral
terima kasih pln mobile aplikasi bantu manfa at moga depan nya maju nyaman,positif
aplikasi pusing banget moga baik manfaat baru ulang kali maaih suruh lengkap profil verivikasi akun ikut hasil ikut bersih cache pokok banget aplikasi aplikasi ikut pandu jd,positif
bagus terupdate nyaman menu sesuai layan plnnya terima kasih pln,positif
respon adu cepat bantu langkah tunjuk mudah terima kasih pln mobile,positif
kecewa banget beli token via pln mobile nomor token muncul ngehubungi call center pusat kasih nomor token nya cek token pln mobile muncul tulis kadaluarsa transfer ah kapok beli token pln mobile ujung nya telepon kak call center pusat nomor token,negatif
semenjak perihal kembali dana iconnet whatsapp csnya balas balas pesan tunggu uang direfund kait gagal pasang internet iconnet jarak tiang please butuh kembali dana uang,netral
layan iconnet pln mohon proses pasang mudah sedia jaring iconnet lingkung jaring pakai langgan indihome telkomsel masyarakat tarik iconnet ganti indihome iconnet pln realisasi jaring mohon sedia jaring proses pasang,netral
aplikasi nya bantu urus listrik beli token bayar tagih kembang manfaat,netral
terima kasih panggil ganggu cepat merespon tangan cepat moga lancar tugas,positif
bintang lapor ganggu listrik sih okeh lapor ganggu internet aplikasi koneksi seluler kenceng mohon baik,netral
aplikasi jelek hapus pln aplikasi nya kelas salah aplikasi game kacang,negatif
aplikasi fungsi coba ganggu listrik padam responnya cepat bagus job,positif
bayar pasang iconnet aplikasi pln mobile tugas nya pasang tiang adu aplikasi kembali biaya pasang data aplikasi ubah pasu id pln aplikasi adu gagal adu iconnet pln mobile,netral
aplikasi daftar iconnet minggu instalasi rumah bayar lunas tagih july pasang kesal adu whatsapp telepon tunggu kerja kerja pasang daftar,negatif
aplikasi nya mantap bantu meter adu langsung kasih pandu layan ramah sabar,positif
aplikasi mobile listrik layan iconnet mohon waspada teliti jaring masuk nya rumah registrasi bayar via aplikasi tunggu aktif pln pasti urus pln pln layan listrik tanggung layan produk internet iconnet,positif
daftar pasang listrik online proses bulan tugas rumah adu telepon x layan email whatsapp hari daftar langsung tanah hari beres lucu dunia pakai lancar kayak aspal,positif
alhamdulillah aplikasi plnmobile mudah praktis moga canggih,positif
coba pikir realistis proses tunggu x jam masuk akal bayar laku status tunggu bayar niat hati cepat layan bagus kecewa solusi aju tanggal juni pasang juni moga jaring kecewa layan nya cepat butuh,positif
aplikasi verifikasi tingkat akun foto ktp hasil proses x jam bulan verifikasi hasil,netral
aplikasi bagus tangan layan bagus langsung konfirmasi djelaskan kendala ok depan,netral
adu aplikasi telepon tugas clear mantap aplikasi tingkat segi ux nya,positif
daftar bayar pasang internet iconnet kabar informasi pasang nya coba hubung nomor whatsapp iconnet komputer mohon bantu,netral
bantu cek tagih beli token proses pasang daya aju adu pemberitahuan informasi madam,netral
kerja iconnet tindak via wa email pln iconnet aplikasi live chat lempar aduh,netral
serius listrik tuktrek adu pakai aplikasi tugas langsung rusak layan bintang tahan layan biar rating aplikasi bagus,negatif
lambat banget tingkat akun foto ktp keupgrade jam x jam banget customer service gitu tunggu respon human nya banget left chat dibales tau oiya seringkali alami aplikasi sayang banget sih,negatif
aplikasi manfaat bravo tim pln dumai layan cepat langsung menit hidup listrik nya atas cepat,positif
terimakasih alami kendala isi token listrik kwh meter alhamdulillah layan cepat selesai bagus job,positif
bantu lambat tagan lapor pasang daya,negatif
potong harga daya beli kompor mitra pln tuju daya biar listrik rumah beli kompor kompor ih pln kasih promo daya pasang iconnet lokasi indak jaring sulit langgan pln,netral
moga saran sampai alas ganggu pemberitahuan rinci padam nyala lengkap informasi sop kelola adu kategori ganggu padam keluh,negatif
aplikasi bantu turun daya aplikasi tambah daya urus ubah daya suruh app aplikasi kayak gin,netral
admin baik bayar aplikasi kadaluarsa untung email pemberitahuan itu,positif
aplikasi baguss bantu pangaduan salah adu dll gantung maha kuasa jaring tiap daerah terima kasih pln mobile moga sehat hindar musibah bahaya kerja ganggu mana aammiin,positif
muas aplikasi guna token listrik belakang muncul kemarin,netral
aplikasi sambung ubah daya selesai nyata selesai tugas rumah hubung error aplikasi nya,netral
mantap aplikasi respon adminnya cepat keluh butuh langsung tangan terima kasih pln,positif
kirim adu kadang gagal tulis aplikasi hubung server sinyal bagus baik server,netral
kasih bintang bentuk harga usaha pln tingkat layan tolong aplikasi sempurna sempurna aplikasi,positif
mbps stabil wifinya issue ont modem nya email cs teknisi langsung rumah sy customer nya ok terima kasih iya iconnet moga bagus layan fo nya,positif
aplikasi bantu beli pulsa listrik bayar tagih listrik mudah cepat,positif
terima kasih pln mobile moga nya aplikasi bantu masyarakat adu nya mohon sedia obrol chatting biar komunikasi aplikasi pln mobile nya email lambat respon depan mohon adu tegur ingat terima kasih maju pln,positif
daftar aplikasi gagal sambung server mohon baik,netral
naik daya listrik bayar lengkap virtual account bca lengkap bank nya,positif
komplain nomor token diinput langsung tanggap layan cepat tangan terimakasih,positif
layan cepat keluar biaya banding call center terima kasih,positif
guna android ram gb aplikasi ringan banget layan ok manfaat moga depan bagus up saldo biar simpel,positif
hati pasang iconnet bayar pasang janji nya kerja nihil whatsapp suruh tunggu budek telepon cs ngabisin pulsa suruh tunggu cepat keluh pasang iconnet sabar gatau pikir matang pasang aplikasi pln mobile layan iconnet,positif
layan pln aplikasi cepat layan telepon lumayan tangan cepat butuh jam tangan moga aplikasi baik pemberitahuan kait batal terimakasih,positif
guna aju keluh lambat respon menit balas aju keluh kendala iya kerja chat tinggal menit ulang dibales cepat respon nya mutu,positif
kali isi token bayar hasil aplikasi masuk rugi nomor token,netral
servernya mohon baik lapor ganggu pln baik integritas handal baik,netral
layan bagus responsif selesai cepat bagus apknya moga tingkat fitur,positif
aplikasi sip kalah swasta chat balas wa enak pasang iconnet ya teman saran,positif
moga nomor what app wa adu foto nama jalan kabel kena pohon kabel sangkut kendara kontainer kabel utama lintang bahaya informasi pasang jagak tiang listrik utama konsumen butuh,positif
bintang buka adu aplikasi bosan coba nihil hasil ny solusi aplikasi,negatif
alhamdulillah pln hadir aplikasi super mudah listrik rumah khawatir ganggu beli pulsa listrik dll langsung genggam mantap pln,positif
kali baru sulit adu madam kasi pilih pakai nomor langgan titik lokasi kali pakai baru,negatif
id pel salah ubah id pel fitur live chat ketik papan tombol nya app nya kurang aplikasi bumn bagus aplikasi,negatif
aplikasi pintar pln nya aplikasi pln luarr,positif
aplikasi bantu mudah lapor ganggu kantor catat stan meter mandiri,positif
customer service referensi via pln mobile system nya ngimbangi sambung server nya malu ayok pln yuk,negatif
aplikasi manja langgan fitur komplit butuh langgan kait informasi pln fasilitas suka beli token biaya layan bank an i moga promo,netral
mudah sulit repot akses mana isi pulsa listrik bayar tagih listrik non admin aplikasi rekomendasi terima kasih,negatif
langgan iconnet via aplikasi lunas desember komplain kali realisasi udh kembali dana kirim email tagih aplikasi pasang bom jelek banget dah uang mana selesai skrng kesal iya,negatif
mantap aplikasi pln mobile sistem adu pln nya mudah,positif
aplikasi bantu repot ribet withdrawal saldo pln mobile rekening bank masuk rekening bank saldo pln mobile kurang layan bantu live chat cs fungsi etik pesan mohon baik tingkat layan,negatif
terima kasih pln mobile mudah kalo mati listrik kantor tinggal lapor pln mobile oke bagi bayar moga,netral
bolak baru tros moga pilih baru pakai versi hp langgan memori bagus kadang nyukupin baru aplikasi terima kasih pln follow up masalah tunggu tindak,netral
aplikasi bantu tolong tingkat menu status mohon konsumen ecek status mohon pb pd cetak spk bom terima kasih,netral
layan super lelet nanya cs memuuaskan nyeseel pasang iconet muas,positif
nama alias idpel ubah ganti disave nama halaman idpel,netral
mudah aplikasi pln mobile aplikasi bagus fitur mudah ganggu butuh pln mudah praktis pln mobile,positif
aplikasi bantu saat mati lampu keluh kesah aplikasi pemberitahuan kalo baik jaring daerah mudah an layan bagus terima kasih pln,netral
alhamdulilah berkat aplikasi pln mobile listrik rumah cepat nyala respon nya cepat tanggap unduh unduh ya jamin kecewa terima kasih tugas ramah banget mlm panggil darurat langgan sopan ramah banget,positif
layan live chatnya bantu antri merespon menit ulang,netral
aplikasi bantu info madam tagih pasang migrasa daya ganggu kantor pln aplikasi mudah,netral
terima kasih pln mobile aplikasi mudah adu ganggu listrik tugas ramah,positif
mantap bantu mudah akses layan pln tunjang sinyal bagus,positif
aplikasi pln mobile informasi tagih daya adu mudah aplikasi pln mobile,netral
layan bagus responsif tunggu tugas ramah bantu,positif
pln mobile bagus aja fitur tambah tarik kumpul poin voucher undi hadiah sayang pokok mantab layak kasih bintang terima kasih pln mobile,netral
aplikasi mudah adu ganggu listrik tugas ramah the best,positif
aplikasi nya bagus cepat tanggap kantor layan dekat aplikasi pln mobile keluh atas,positif
aplikasi nya bantu lapor ganggu listrik langsung gerak cepat merespon terima kasih pln mobile,positif
alhamdulillah layan nya kasih nilai jelek bintang guna nya transaksi beli token koq cepat mudah murah banget rp bagus banget deh pokok aplikasi direspon operator customer servicenya kembali kwh langsung pln proses ganti unit meter nya puas bagus manfaat aplikasi pln mobile recomended joss,positif
aplikasi bantu mudah adu cepat tanggap layan muas keren,positif
aplikasi bantu adu bayar listrik dukung banyak fitur dalam,netral
baru tanggal juni tanggal juni baru pemberitahuan salur padam baru pasang aplikasi tolong baik,negatif
aplikasi bagus bantu layan ganggu layan daya pasang loss strom,netral
aplikasi bantu aplikasi pln mobile lapor ganggu listrik cepat tanggap nya cepat aplikasi transaksi beli pulsa tambah daya daftar aplikasi bantu terimaksih moga sukses,positif
paksa suruh baru versi ya baru versi baru ya buru sulit signal eh suruh mengupdate harus ya pilih iya,negatif
aplikasi bagus mudah langgan contoh informasi kait promo dipln tahu cepat kait adu ganggu aplikasi pln mobile kantor pln,positif
aplikasi bantu pasang daya aplikasi lapor ganggu aplikasi kantor pln,netral
superapps inovatif mudah langgan akses layan listrik pln mobile saji informasi kini lengkap akurat semat fitur baru nya pln magazine pokok t o p b g t s,positif
aplikasi bantu catat meter mandiri rumah tagih listrik kontrol pakai aplikasi pantau listrik rumah orang tua mertua butuh tinggal klik beres paham erti isi aplikasi bantu terima kasih pln aplikasi keren,positif
aplikasi bantu mudah tangan listrik bayar tag listrik beli token info madam lap ganggu listrik kantor pln,netral
mudah pln mobile fitur bantu pasti mudah cepat bagus bangett,positif
aplikasi bantu kait listrik bingung cari solusi listrik kembang konsumen mudah,negatif
daftar akun nya sulit kayak dlu coba pakai email khusus pln mobile doang biar ganggu email asli verifikasi,negatif
pln mobile aplikasi baik mudah bantu langgan sukses moga detik tambah donload guna pln mobile moga kembang pesat ragu aplkasi resmi cocok guna listrik sia aplikasi kawan baru canggih tambah manfaat nya butuh listrik mudah bantu,positif
aplikasi manfaat pergi informasi listrik akses mudah,netral
aplikasi bantu informasi tagih madam pasang daya ganggu langsung aplikasi pln mobile repot hemat lapor kantor pln,negatif
mantap aplikasi ny menu nya status mohon pasang ubah daya ny proses pln ny terima kasih,positif
super apps mudah akses layan pln fitur adu responsif moga kembang,positif
mantap aplikasi kembang aplikasi manfaat banget listrik mudah mantap pln,positif
aplikasi batu lapor ganggu lapor kait rekening token bayar listrik biaya admin pasang daya mudah pokok mantap deh moga pln depan jaya aamiin,positif
lapor ganggu cepat proses tindak operator ganggu mohon keluh tanggap informasi,positif
mudah pakai pantau ganggu wilayah progressnya mantap masuk kalo promo pb pd voucher listrik biar betah pulang mantengin aplikasi he,positif
pakai aplikasi pln mobile keluh cepat tanggap mudah temu alamat beli token mudah,positif
bantu mudah transaksi hubung pln moga nya maksimal terima kasih pln,positif
mudah kece tagih daya pasang lagi terima kasih pln mobile,netral
aplikasi fitur menu mudah paham transaksi cepat,positif
bantu tagih adu pasang daya migrasi informasi kini pln,netral
aplikasi bagus bantu masalah listrik area madam pasang data migrasi terima kasih pln,netral
mantap bantu mudah lapor layan cepat terima kasih pln,positif
ribet ajar manfaat mudah lapor ganggu daya terima kasih pln,netral
aplikasi manfaat mudah saldo token lapor ganggu mudah cepat,positif
menu terus baharu bantu pakai listrik hari mantap,positif
aplikasi bagus bantu beli token adu aplikasi mudah cepat tanggap terima kasih pln mobile,positif
sulit pasang token listrik pakai lso nidi proses tunggu sertifikat gatau bayar makelar nilai budget selisih sulit,negatif
aplikasi bagus bantu bayar listrik mudah respon cepat,positif
aplikasi bantu informasi madam tagih pasang migrasi daya adu hemat kantor pln,netral
aplikasi bantu informasi madam tagih pasang daya kantor pln,netral
aplikasi bagus fitur belanja komplit saing moga fiturnya tambah,netral
manfaat pln mobile informasi pln mudah isi pulsa token praktis,positif
simpel mudah nya mudah aplikasi transaksi pln mobile,positif
aplikasi eror mutu layan sesuai jadwal tentu bayar tanggal mei tanggap kerja respon aplikasi kayak aplikasi mutu uang aplikasi abal abal daftar agen langsung pasang aplikasi pln mobile,netral
