,nama_user,rating,waktu,ulasan,preprocessing
10,Bella Fitri,5,2022-06-23 10:46:32,"Semenjak pakai PLN mobile, semuanya menjadi mudah, pelanggan yang laporan gangguan langsung di kerjakan petugas, dan tidak sampai 15menit sampai ke rumah, tidak dikenakan biaya apapun serba gratis, petugas yg datang sangat ramah dan profesional. Terimakasih PLN mobile !!!!","semenjak pakai pln mobile, semuanya menjadi mudah, pelanggan yang laporan gangguan langsung di kerjakan petugas, dan tidak sampai 15menit sampai ke rumah, tidak dikenakan biaya apapun serba gratis, petugas yg datang sangat ramah dan profesional. terimakasih pln mobile !!!!"
11,RAKHMAD MAHMUD,5,2022-06-23 10:10:00,"Mantaaaap,... Dgn Aplikasi PLNmobile,... Saya dapat melakukan aktifitas dgn fitur yg ada sesuai dgn keinginan saya,... #PLNMobile, #Satu Genggaman","mantaaaap,... dgn aplikasi plnmobile,... saya dapat melakukan aktifitas dgn fitur yg ada sesuai dgn keinginan saya,... #plnmobile, #satu genggaman"
12,dina Novaeyati,5,2022-06-23 07:53:38,"Sangat membantu electrizen untuk mempermudah mendapat pelayanan kelistrikan, terus upgrade menjadi lebih cepat dan informatif.","sangat membantu electrizen untuk mempermudah mendapat pelayanan kelistrikan, terus upgrade menjadi lebih cepat dan informatif."
13,sidiq,1,2022-06-23 07:46:46,Sering update tetapi semakin diupdate bukan semakin bagus malah semakin banyak kendala.apa tidak dicoba dulu kalau update aplikasi,sering update tetapi semakin diupdate bukan semakin bagus malah semakin banyak kendala.apa tidak dicoba dulu kalau update aplikasi
14,Yan Lai,1,2022-06-23 06:57:36,"Ga tau fungsinya apa ni aps Aneh , komplain ga bisa diketik, apa cuma di hp saya yg ga bisa? Jdi saya harus ngetik di note dulu, terus copy, terus tempel di kolom chat","ga tau fungsinya apa ni aps aneh , komplain ga bisa diketik, apa cuma di hp saya yg ga bisa? jdi saya harus ngetik di note dulu, terus copy, terus tempel di kolom chat"
15,Fadli Efendi,3,2022-06-23 04:10:43,"Untuk pilihan token nya memang ada yang paling murah itu sangat membantu,akan tetapi upgrade dan sudah foto KTP untuk verifikasi saldo sampai saat ini belum terverifikasi,padahal sudah 2 kali foto KTP,mohon di perbaiki y...karena dengan aplikasi ini dengan harga yang sangat murah itu ada,sungguh sangat membantu...terima kasih buat aplikasi PLN mobile mohon di tingkat kan pelayanan nya","untuk pilihan token nya memang ada yang paling murah itu sangat membantu,akan tetapi upgrade dan sudah foto ktp untuk verifikasi saldo sampai saat ini belum terverifikasi,padahal sudah 2 kali foto ktp,mohon di perbaiki y...karena dengan aplikasi ini dengan harga yang sangat murah itu ada,sungguh sangat membantu...terima kasih buat aplikasi pln mobile mohon di tingkat kan pelayanan nya"
16,Auliya Shafira Putri,1,2022-06-23 01:45:57,"Udah bayar tapi keterangannya menunggu pembayaran mulu, ngubungin cs udah lama nungguin dan on terus malah udah ngirim keluhan dan centang tapi katanya ga aktif. Emang jelek ni app","udah bayar tapi keterangannya menunggu pembayaran mulu, ngubungin cs udah lama nungguin dan on terus malah udah ngirim keluhan dan centang tapi katanya ga aktif. emang jelek ni app"
17,Arnis Riandhi,1,2022-06-22 23:24:58,"Proses refaund udah hari ke 12 belum kembali, mau ikutan promo naik daya malah udah gak promo, barang udah di batalin, eh malah uangnya gak kembali.😭😭di chat harus nunggu email, tidak ada kepastian waktu. Tolong proses secepatnya nomer lapor 1601090. Dimohon dengan sangat bp ibu PLN. Tolong bantu saya. Saya kasih bintang 5 klo uang sudah kembali. Terimakasih","proses refaund udah hari ke 12 belum kembali, mau ikutan promo naik daya malah udah gak promo, barang udah di batalin, eh malah uangnya gak kembali.😭😭di chat harus nunggu email, tidak ada kepastian waktu. tolong proses secepatnya nomer lapor 1601090. dimohon dengan sangat bp ibu pln. tolong bantu saya. saya kasih bintang 5 klo uang sudah kembali. terimakasih"
18,Listi Ardhannari,5,2022-06-22 21:50:15,"Sekarang pengaduan gangguan sangat mudah, semua sudah tersedia dalam 1 aplikasi. Mantab!","sekarang pengaduan gangguan sangat mudah, semua sudah tersedia dalam 1 aplikasi. mantab!"
19,Elseria Panggabean,5,2022-06-22 20:29:10,"Sangat membantu untuk keluhan jika listrik padam terkadang juga kurang cepat tindakannya, Tapi tolong di tinjau lagi kenapa listrik di daerah tanjung jabung barat ini setiap hari pasti listrik mati minimal 3 jam. Intinya tiada hari tanpa listrik padam Terimakasih","sangat membantu untuk keluhan jika listrik padam terkadang juga kurang cepat tindakannya, tapi tolong di tinjau lagi kenapa listrik di daerah tanjung jabung barat ini setiap hari pasti listrik mati minimal 3 jam. intinya tiada hari tanpa listrik padam terimakasih"
20,Mama Radi,5,2022-06-22 19:57:57,Sy kasi bintang 5 untuk wilayah pekanbaru... Penanganan cepat..! 20 menit setelah pengaduan petugas langsung datang.. Cukup lengkapi form pengaduan dalam aplikasi dan petugas langsung merespon.. Mantappp..,sy kasi bintang 5 untuk wilayah pekanbaru... penanganan cepat..! 20 menit setelah pengaduan petugas langsung datang.. cukup lengkapi form pengaduan dalam aplikasi dan petugas langsung merespon.. mantappp..
21,PIQIH NURBANY,1,2022-06-22 18:44:57,Saat baru daftar berkali di wa utk melakukan pembayaran giliran udh bayar ternyata teknisinya bilang gak bsa pasang Giliran minta duit balik prosesnya ribet.,saat baru daftar berkali di wa utk melakukan pembayaran giliran udh bayar ternyata teknisinya bilang gak bsa pasang giliran minta duit balik prosesnya ribet.
22,Amrin Butudoka,5,2022-06-22 18:40:03,"Aplikasi sangat membantu krna bs cek tagihan listrik, pasang baru, migrasi, tambah daya dan pengaduan jg, Mantap☝👍","aplikasi sangat membantu krna bs cek tagihan listrik, pasang baru, migrasi, tambah daya dan pengaduan jg, mantap☝👍"
23,Hera Destaria,5,2022-06-22 16:18:57,Aplikasi yang sangat membantu. Satu aplikasi dengan berbagai fitur kelistrikan. Penanganan laporan listrik padam sangat cepat tanggap.,aplikasi yang sangat membantu. satu aplikasi dengan berbagai fitur kelistrikan. penanganan laporan listrik padam sangat cepat tanggap.
24,MAS ERWIND OFFICIAL,3,2022-06-22 14:30:01,"Tolong dong diupgrade untuk di tambah riwayat penggunaan listrik harian , supaya kita bisa lebih mudah lagi mengontrol penggunaan listrik setiap harinya , terimakasih","tolong dong diupgrade untuk di tambah riwayat penggunaan listrik harian , supaya kita bisa lebih mudah lagi mengontrol penggunaan listrik setiap harinya , terimakasih"
25,Suparman BP,5,2022-06-22 13:33:07,"Mantap PLN, lapor gangguan jadi lebih mudah. Bisa mengetahui harga pasang meteran listrik, tambah daya dgn mudah dan terbuka. Dan ternyata bisa jg belanja keperluan sehari hari loh di Market place nya. Sukses terus PLN","mantap pln, lapor gangguan jadi lebih mudah. bisa mengetahui harga pasang meteran listrik, tambah daya dgn mudah dan terbuka. dan ternyata bisa jg belanja keperluan sehari hari loh di market place nya. sukses terus pln"
26,Firda Meiliani,5,2022-06-22 13:23:05,"Pelayanan sangat ramah, cepat ditangani, gak perlu ribet dan gak perlu biaya kalau ingin pengaduan masalah ttng PLN","pelayanan sangat ramah, cepat ditangani, gak perlu ribet dan gak perlu biaya kalau ingin pengaduan masalah ttng pln"
27,AAA Channel,1,2022-06-22 13:16:20,"Aplikasinya kurang bagus... 1. Untuk permohonan ubah daya hanya muncul pilihan untuk tambah daya saja, sedangkan untuk TURUN daya tidak ada. 2. Aplikasi Live Chat tidak berfungsi, karena tombol keyboard digital nya tidak muncul, jadi tidak bisa ketik apapun sampai time out. 3. Terlalu berbelit-belit dengan prosedur untuk permohonan penurunan daya. Giliran naik daya gampang banget. Harap jangan berbelit-belit. Tolong diperbaiki.","aplikasinya kurang bagus... 1. untuk permohonan ubah daya hanya muncul pilihan untuk tambah daya saja, sedangkan untuk turun daya tidak ada. 2. aplikasi live chat tidak berfungsi, karena tombol keyboard digital nya tidak muncul, jadi tidak bisa ketik apapun sampai time out. 3. terlalu berbelit-belit dengan prosedur untuk permohonan penurunan daya. giliran naik daya gampang banget. harap jangan berbelit-belit. tolong diperbaiki."
28,Mulyono Pekanbaru,1,2022-06-22 12:02:42,Tidak ada perubahan di aplikasi ini. Saya sudah mendatangi konter pelayanan pln di mpp pekanbaru.petugas juga ngak paham mengenai apa yg di tampilkan di aplikasi khususnya tampilan pelaporan pengaduan ganguan listrik padam. Masih menunjukan data masih kosong. Lebih bagus aplikasi yg lama bisa buat laporan pengaduan jika ada listrik padam.,tidak ada perubahan di aplikasi ini. saya sudah mendatangi konter pelayanan pln di mpp pekanbaru.petugas juga ngak paham mengenai apa yg di tampilkan di aplikasi khususnya tampilan pelaporan pengaduan ganguan listrik padam. masih menunjukan data masih kosong. lebih bagus aplikasi yg lama bisa buat laporan pengaduan jika ada listrik padam.
29,Muhammad Faisal Darmawan,5,2022-06-22 11:14:30,"Terima kasih PLN Mobile, fitur - fiturnya menarik, aksesnya ga ribet, pelanggan jadi lebih dipermudah dengan hadirnya aplikasi ini. PLN Mobile kerennya 1% yang 99% keren banget. Semoga makin lengkap","terima kasih pln mobile, fitur - fiturnya menarik, aksesnya ga ribet, pelanggan jadi lebih dipermudah dengan hadirnya aplikasi ini. pln mobile kerennya 1% yang 99% keren banget. semoga makin lengkap"
30,robi prawira,5,2022-06-22 10:50:24,"Setelah diupdate aplikasi jadi lebih ringan dan banyak fitur2 baru yang sangat membantu, mantap PLN. Pertahankan","setelah diupdate aplikasi jadi lebih ringan dan banyak fitur2 baru yang sangat membantu, mantap pln. pertahankan"
31,Dadang Setiawan,2,2022-06-22 10:28:33,1. Chat Message tidak muncul Keyboard. 2. Kalau laporan pengaduan status selesai tp riilnya belum mesti tlp ke 123 tidak ada fitur diaplikasinya. Selebihnya sudah baik.,1. chat message tidak muncul keyboard. 2. kalau laporan pengaduan status selesai tp riilnya belum mesti tlp ke 123 tidak ada fitur diaplikasinya. selebihnya sudah baik.
32,Riyadi Ebta Nagara,1,2022-06-22 10:26:49,"Saya sudah bayar dan ada bukti'a, di apk PLN mobile masih ada tagihan....dan kenapa ada pajak penerangan jalan ( ppj ) ditagihan saya, ppj dibayar oleh pemerintah","saya sudah bayar dan ada bukti'a, di apk pln mobile masih ada tagihan....dan kenapa ada pajak penerangan jalan ( ppj ) ditagihan saya, ppj dibayar oleh pemerintah"
33,Nurhadi S. K.,5,2022-06-22 08:45:37,"Kalau info gangguan jadi mudah, ga perlu telp. Tinggal lihat progresnya di aplikasi.","kalau info gangguan jadi mudah, ga perlu telp. tinggal lihat progresnya di aplikasi."
34,Sach Rizal,5,2022-06-22 07:33:30,"Semua komplit dalam aplikasi pln mobile, sangat membantu jika ada permasalahan soal kelistrikan, mantap.","semua komplit dalam aplikasi pln mobile, sangat membantu jika ada permasalahan soal kelistrikan, mantap."
35,oetomo 2107,5,2022-06-21 23:12:25,"Aplikasi ini sangat membantu saya ketika ada masalah tentang listrik di rumah saya. Fast respon dari petugas, ramah dan santun.. Salut untuk operator dan juga petugas lapangan 👍👍","aplikasi ini sangat membantu saya ketika ada masalah tentang listrik di rumah saya. fast respon dari petugas, ramah dan santun.. salut untuk operator dan juga petugas lapangan 👍👍"
36,Boyman Zai,1,2022-06-21 22:09:54,"Aplikasi di pilihan pengaduan tidak berjalan dengan baik, bukanya mempermudah malah mempersuli pengguna. sudah 3 hari berturut turut saya coba malah gak bisa bisa, aplikasi selalu error dan selalu kembali kehalaman utama jika di gunakan.","aplikasi di pilihan pengaduan tidak berjalan dengan baik, bukanya mempermudah malah mempersuli pengguna. sudah 3 hari berturut turut saya coba malah gak bisa bisa, aplikasi selalu error dan selalu kembali kehalaman utama jika di gunakan."
37,Alfathur jr,4,2022-06-21 17:39:27,"Pelayanannya cepat tanggap, petugasnya ramah dan baik kerjanya. Untuk masukan di aplikasi ini, pada samsung galaxy a51 bagian live chat tidak muncul fungsi keyboard jadi gak bisa dipakai. Selebihnya mantap, semangat kakak2 🔥🔥","pelayanannya cepat tanggap, petugasnya ramah dan baik kerjanya. untuk masukan di aplikasi ini, pada samsung galaxy a51 bagian live chat tidak muncul fungsi keyboard jadi gak bisa dipakai. selebihnya mantap, semangat kakak2 🔥🔥"
38,Muhamad Dhaniel,5,2022-06-21 16:26:53,"Bagus sekali aplikasinya, ada pemantau pembayaran tiap bulan, pembayaran tagihan jadi lebih mudah, juga pilihan alat pembayaran juga banyak, semoga lebih baik lagi","bagus sekali aplikasinya, ada pemantau pembayaran tiap bulan, pembayaran tagihan jadi lebih mudah, juga pilihan alat pembayaran juga banyak, semoga lebih baik lagi"
39,yeni yuliasti,5,2022-06-21 15:34:06,"Pln mobile aplikasi yg sangat membantu dalam masalah perlistrikan. Mau pasang baru, tambah daya atau beli token listrik menjadi lebih mudah. Semangad tingkatkan trus pelayanan dari pln.","pln mobile aplikasi yg sangat membantu dalam masalah perlistrikan. mau pasang baru, tambah daya atau beli token listrik menjadi lebih mudah. semangad tingkatkan trus pelayanan dari pln."
40,ichsan rahmadi,5,2022-06-21 15:28:12,Sangat memuaskan & sangat mudah Melakukan transaksi pembelian token maupun pembayaran tagihan rekening listrik. Melakukan Laporan pengaduan Gangguan pun lebih mudah dan bisa tracking progress laporan,sangat memuaskan & sangat mudah melakukan transaksi pembelian token maupun pembayaran tagihan rekening listrik. melakukan laporan pengaduan gangguan pun lebih mudah dan bisa tracking progress laporan
41,Mr. Ting Onk,5,2022-06-21 15:20:25,"Terbaik nih aplikasi... Bisa beli token langsung, historis beli token juga ada, mau laporan gangguan mudah & gerak cepat layanannya..makasih PLN","terbaik nih aplikasi... bisa beli token langsung, historis beli token juga ada, mau laporan gangguan mudah & gerak cepat layanannya..makasih pln"
42,Krisna hermianiasti p,5,2022-06-21 14:58:20,"Sangat membantu untuk melakukan pembayaran tagihan listrik ataupun pembelian token, dan sering tampil notifikasi klo memang ada pemeliharaan gituu Seneng deh karna klo pake va bank adminnya murah juga klo di apk ini Good job PLN","sangat membantu untuk melakukan pembayaran tagihan listrik ataupun pembelian token, dan sering tampil notifikasi klo memang ada pemeliharaan gituu seneng deh karna klo pake va bank adminnya murah juga klo di apk ini good job pln"
43,Iim Badi Nursiam,5,2022-06-21 14:47:11,"Base on true story : # Layanan pengaduan gangguan nya sangat bagus & informative👍 #Penanganan gangguan nya sangat cepat, safety first & profesional 👍 # Aplikasi ini user friendly banget 👍 Luar biasa untuk PLN, Semoga Semakin Jaya","base on true story : # layanan pengaduan gangguan nya sangat bagus & informative👍 #penanganan gangguan nya sangat cepat, safety first & profesional 👍 # aplikasi ini user friendly banget 👍 luar biasa untuk pln, semoga semakin jaya"
44,tresiana liu,5,2022-06-21 14:44:56,Terima kasih sebelumnya dari tim Pln padang. Semalam saya komplain pemadaman listrik akibat trafo meledak. Alhamdulillah jam 11 malam sudah menyala lg listrik nya. Pln cepat tanggap,terima kasih sebelumnya dari tim pln padang. semalam saya komplain pemadaman listrik akibat trafo meledak. alhamdulillah jam 11 malam sudah menyala lg listrik nya. pln cepat tanggap
45,Priscilla Andrian,3,2022-06-21 13:36:56,Aplikasi awalnya tidak membantu. Pemasangan Iconnet.. Daftar tgl 2 tidak ada update berhari2. Hingga saya memberi bintang rendah dan membuat petugas menghubungi saya. Setelah itu baru ada follow up dan dipasang tgl 15🙂. Terima kasih follow up nya ya. Maka sudah saya rubah ya bintangnya. Utk appny masih sama. Perlu dibenahi.,aplikasi awalnya tidak membantu. pemasangan iconnet.. daftar tgl 2 tidak ada update berhari2. hingga saya memberi bintang rendah dan membuat petugas menghubungi saya. setelah itu baru ada follow up dan dipasang tgl 15🙂. terima kasih follow up nya ya. maka sudah saya rubah ya bintangnya. utk appny masih sama. perlu dibenahi.
46,Sri Munarsih,5,2022-06-21 13:32:03,"Wooow,,, aplikasi nya keren bgt.. Semua informasi tentang PLN ada di aplikasi ini nih. Selain bisa pengaduan gangguan, kita juga bisa beli token listrik, bayar rekening listrik, pasang baru, perubahan daya, bahkan bisa baca meter mandiri. Gak rudi deh download aplikasi ini. Pln mobile,, luarr biasa..👍🏻👍🏻👍🏻","wooow,,, aplikasi nya keren bgt.. semua informasi tentang pln ada di aplikasi ini nih. selain bisa pengaduan gangguan, kita juga bisa beli token listrik, bayar rekening listrik, pasang baru, perubahan daya, bahkan bisa baca meter mandiri. gak rudi deh download aplikasi ini. pln mobile,, luarr biasa..👍🏻👍🏻👍🏻"
47,Warisman Warisman j,5,2022-06-21 13:09:31,"Aplikasi yang sangat bagus, memumdahkan kita untuk memanagemen kelistrikan bangunan kita, memudahkan semua hal tentang kelistrikan, pokoknya its the best... Yang ga download nyeseel","aplikasi yang sangat bagus, memumdahkan kita untuk memanagemen kelistrikan bangunan kita, memudahkan semua hal tentang kelistrikan, pokoknya its the best... yang ga download nyeseel"
48,Ainun Jpr,2,2022-06-21 13:02:45,Setiap mau pengaduan data kosong padahal dulu itu bisa setelah di update malah g bisa jadi males instal app ini,setiap mau pengaduan data kosong padahal dulu itu bisa setelah di update malah g bisa jadi males instal app ini
49,Alkha Dafi,5,2022-06-21 12:22:51,"Aplikasi yang sangat bagus , lancar setiap pembelian token ,apalagi bebas biaya admin kalo pakai mbanking mandiri...the best lah...... Saya suke saya suke..................","aplikasi yang sangat bagus , lancar setiap pembelian token ,apalagi bebas biaya admin kalo pakai mbanking mandiri...the best lah...... saya suke saya suke.................."
50,Candrawandi,5,2022-06-21 10:04:02,"Mantap,, mempermudah pelayanan pelanggan pln , sudah komplit fitur2 nya, mudah2n bisa lebih renponsip dr sisi tanggapan pelayanan nya","mantap,, mempermudah pelayanan pelanggan pln , sudah komplit fitur2 nya, mudah2n bisa lebih renponsip dr sisi tanggapan pelayanan nya"
51,nietha inliz,4,2022-06-21 09:59:45,baru nyoba pengaduan lewat aplikasi ini. .pelayanan lumayan cepat..tp mungkin hrs berproses jg sih cara kerjanya. trmksh..semoga kedepannya semakin baik lagi.,baru nyoba pengaduan lewat aplikasi ini. .pelayanan lumayan cepat..tp mungkin hrs berproses jg sih cara kerjanya. trmksh..semoga kedepannya semakin baik lagi.
52,apris radja,5,2022-06-21 08:35:21,Pengaduan gangguan lebih mudah. Juga di tanggapi dengan cepat dari PLN kupang.. Pelayanan sangat baik. Terima kasih untuk pelayanannya,pengaduan gangguan lebih mudah. juga di tanggapi dengan cepat dari pln kupang.. pelayanan sangat baik. terima kasih untuk pelayanannya
53,kevin kaseh,5,2022-06-21 08:08:09,"Mantapp sekali Aplikasi yg all in one,terpercaya,dan efektif, Sangat embantu sekali dalam melayani kebutuhan pelanggan Tp kalo boleh kasih saran Tersedia Doc PDF tutorial penggunaan/fungsi-fungsi dan Fitur-fitur yang tersedia yang bisa didownload agar langsung dalam aplikasi agar memudahkan pengguna dapat lbih menguaaai penggunaan aplikasi🙏🙏🙏","mantapp sekali aplikasi yg all in one,terpercaya,dan efektif, sangat embantu sekali dalam melayani kebutuhan pelanggan tp kalo boleh kasih saran tersedia doc pdf tutorial penggunaan/fungsi-fungsi dan fitur-fitur yang tersedia yang bisa didownload agar langsung dalam aplikasi agar memudahkan pengguna dapat lbih menguaaai penggunaan aplikasi🙏🙏🙏"
54,Wayan Putra,5,2022-06-21 06:50:32,Aplikasi mudah dan sangat membantu serta sangat bermanfaat. Terus di udate perbaikannya,aplikasi mudah dan sangat membantu serta sangat bermanfaat. terus di udate perbaikannya
55,Abdullah Mancora,5,2022-06-21 06:16:55,Aplikasinya terus berkembang fitur-fitur tambahnya buat mudah kita dalam bertransaksi. Sudah ada loh info ketersediaan jaringan internet di lokasi anda. Nah bagi pengguna mobil/motor listrik sdh ada lokasi SPKLU terdekat. Tunggu apa lagi ayoo buruan install PLN Mobile,aplikasinya terus berkembang fitur-fitur tambahnya buat mudah kita dalam bertransaksi. sudah ada loh info ketersediaan jaringan internet di lokasi anda. nah bagi pengguna mobil/motor listrik sdh ada lokasi spklu terdekat. tunggu apa lagi ayoo buruan install pln mobile
56,Putri Nesia,5,2022-06-21 06:16:08,"Aplikasinya membantu sekali, satu aplikasi untuk banyak fitur yang memang sangat dibutuhkan. Pembayaran rekening pakai VA mandiri juga tanpa Admin. Pelaporan gangguan juga jadi lebih mudah tanpa harus keluar biaya untuk telpon call center 👍🏻👍🏻👍🏻","aplikasinya membantu sekali, satu aplikasi untuk banyak fitur yang memang sangat dibutuhkan. pembayaran rekening pakai va mandiri juga tanpa admin. pelaporan gangguan juga jadi lebih mudah tanpa harus keluar biaya untuk telpon call center 👍🏻👍🏻👍🏻"
57,zaid zy,1,2022-06-21 05:41:30,"Tolong dong kl memang ada fasilitas internet segera di adakan fasilitasnya. Harga untuk daerah sy perbulannya jg sdh nampak.jgn sampai kelamaan nampang di apk tp bgt kita mau order,daerah ga tercover.","tolong dong kl memang ada fasilitas internet segera di adakan fasilitasnya. harga untuk daerah sy perbulannya jg sdh nampak.jgn sampai kelamaan nampang di apk tp bgt kita mau order,daerah ga tercover."
58,arul pin,1,2022-06-20 22:09:43,"Pengajuan iconnet ribet, katanya di bantu percepatan tapi harus ada minimal. Niat apa tidak anda sebenarnya buat iconnet, lama lama jengkel sendiri","pengajuan iconnet ribet, katanya di bantu percepatan tapi harus ada minimal. niat apa tidak anda sebenarnya buat iconnet, lama lama jengkel sendiri"
59,marwan ugik,2,2022-06-20 19:52:55,"Untuk bagian pembelian token listrik sangat ndak bagus dan proses nya validasi nya lama.. Transaksi berjalan searah, tidak ada link buat klaim pembayaran.. Sudh dibayar tagihan Token nya tp statusnya masih menunggu pembayaran.. Untuk link klaim pembayaran tidak ada.. Di aplikasi penyedia token ndak nyampai semenit Tolong diperbaiki segera klo mau bersaing dgn aplikasi lain..","untuk bagian pembelian token listrik sangat ndak bagus dan proses nya validasi nya lama.. transaksi berjalan searah, tidak ada link buat klaim pembayaran.. sudh dibayar tagihan token nya tp statusnya masih menunggu pembayaran.. untuk link klaim pembayaran tidak ada.. di aplikasi penyedia token ndak nyampai semenit tolong diperbaiki segera klo mau bersaing dgn aplikasi lain.."
60,DSusi ayu,5,2022-06-20 18:57:57,Lebih mempermudah pelanggan...tidak harus kekantor terdekat...semua bisa di dlm satu aplikasi. Pln mobile.👍👍👍👍 #pln terbaik,lebih mempermudah pelanggan...tidak harus kekantor terdekat...semua bisa di dlm satu aplikasi. pln mobile.👍👍👍👍 #pln terbaik
61,Ahmad Reza Fauzi,5,2022-06-20 18:46:04,"Alhamdulillah, aplikasi dg fitur-fitur sangat membantu baik pengaduan ataupun informasi lainya dgn cepat, praktis serta efisien. Terima Kasih PLN","alhamdulillah, aplikasi dg fitur-fitur sangat membantu baik pengaduan ataupun informasi lainya dgn cepat, praktis serta efisien. terima kasih pln"
62,Taufit Hidayat,5,2022-06-20 18:08:49,"Aplikasi sangat Bagus, pembayaran,pengaduan n pelayanan sangat bagus...cukup degan 1 aplikasi semua bisa di lakukan.. PLN mobile memang 👍👍👍","aplikasi sangat bagus, pembayaran,pengaduan n pelayanan sangat bagus...cukup degan 1 aplikasi semua bisa di lakukan.. pln mobile memang 👍👍👍"
