,preprocessing,label
24,"['tolong', 'diperbarui', 'riwayat', 'penggunaan', 'listrik', 'harian', 'mudah', 'mengontrol', 'penggunaan', 'listrik', 'harinya', 'terima', 'kasih']",netral
31,"['chat', 'message', 'muncul', 'keyboard', 'laporan', 'pengaduan', 'status', 'selesai', 'aslinya', 'mesti', 'telepon', 'fitur', 'diaplikasinya', 'selebihnya']",netral
32,"['bayar', 'bukti', 'a', 'aplikasi', 'pln', 'mobile', 'tagihan', 'pajak', 'penerangan', 'jalan', 'ppj', 'ditagihan', 'ppj', 'dibayar', 'pemerintah']",netral
33,"['informasi', 'gangguan', 'mudah', 'telp', 'tinggal', 'lihat', 'progresnya', 'aplikasi']",netral
38,"['bagus', 'aplikasinya', 'pemantau', 'pembayaran', 'pembayaran', 'tagihan', 'mudah', 'pilihan', 'alat', 'pembayaran', 'semoga']",netral
39,"['pln', 'mobile', 'aplikasi', 'membantu', 'perlistrikan', 'pasang', 'daya', 'beli', 'token', 'listrik', 'mudah', 'semangat', 'tingkatkan', 'pelayanan', 'pln']",netral
40,"['memuaskan', 'mudah', 'transaksi', 'pembelian', 'token', 'pembayaran', 'tagihan', 'rekening', 'listrik', 'laporan', 'pengaduan', 'gangguan', 'mudah', 'tracking', 'progress', 'laporan']",netral
47,"['aplikasi', 'bagus', 'memudahkan', 'memanagemen', 'kelistrikan', 'bangunan', 'memudahkan', 'kelistrikan', 'pokoknya', 'its', 'the', 'best', 'unduh', 'nyesel']",netral
54,"['aplikasi', 'mudah', 'membantu', 'bermanfaat', 'udate', 'perbaikannya']",netral
55,"['aplikasinya', 'berkembang', 'fitur', 'mudah', 'bertransaksi', 'loh', 'informasi', 'ketersediaan', 'jaringan', 'internet', 'lokasi', 'pengguna', 'mobil', 'motor', 'listrik', 'lokasi', 'spklu', 'terdekat', 'tunggu', 'ayo', 'buruan', 'install', 'pln', 'mobile']",netral
57,"['tolong', 'fasilitas', 'internet', 'adakan', 'fasilitasnya', 'harga', 'daerah', 'perbulannya', 'nampak', 'jgn', 'nampang', 'aplikasi', 'banget', 'order', 'daerah', 'tercover']",netral
59,"['pembelian', 'token', 'listrik', 'indak', 'bagus', 'proses', 'nya', 'validasi', 'nya', 'transaksi', 'berjalan', 'searah', 'link', 'klaim', 'pembayaran', 'dibayar', 'tagihan', 'token', 'nya', 'statusnya', 'menunggu', 'pembayaran', 'link', 'klaim', 'pembayaran', 'aplikasi', 'penyedia', 'token', 'indak', 'nyampai', 'semenit', 'tolong', 'diperbaiki', 'kalo', 'bersaing', 'aplikasi']",netral
60,"['mempermudah', 'pelanggan', 'kekantor', 'terdekat', 'aplikasi', 'pln', 'mobile', 'terbaik']",netral
62,"['aplikasi', 'bagus', 'pembayaran', 'pengaduan', 'pelayanan', 'bagus', 'aplikasi', 'lakukan', 'pln', 'mobile']",netral
64,"['membantu', 'mudah', 'membantu', 'keperluan', 'kelistrikan', 'mudah', 'beli', 'token', 'mudah', 'pemantauan', 'pemakaian', 'listik']",netral
67,"['aplikasi', 'lengkap', 'fitur', 'repot', 'kantor', 'pln', 'diakses', 'aja', 'terima', 'kasih', 'pln']",netral
70,"['bagus', 'riwayat', 'penggunaannya', 'detail', 'transaksi', 'detail', 'nya', 'masukkan', 'harga', 'kwh', 'detail']",netral
73,"['aplikasi', 'pencuri', 'uang', 'rakyat', 'beli', 'token', 'listrik', 'terpotong', 'duitnya', 'aplikasi', 'statusnya', 'menunggu', 'pembayaran', 'saldo', 'kepotong', 'token', 'kirim', 'uang', 'hilang', 'kemana', 'nih', 'mengadu', 'kali', 'kayak', 'gini', 'tolong', 'ya', 'urus', 'permasalahan', 'x']",netral
74,"['pembayaran', 'via', 'va', 'status', 'menunggu', 'pembayaran', 'chat', 'via', 'aplikasi', 'respon', 'menyalahkan', 'respon', 'haduh', 'ujung', 'nya', 'iya', 'telepon', 'perbaiki', 'tarif', 'pelayanan', 'kaya']",netral
79,"['rasakan', 'aplikasi', 'mah', 'ribet', 'daftar', 'penyambungan', 'mesti', 'memasukkan', 'nid', 'masyarakat', 'nid', 'ujung', 'nya', 'daftar', 'aplikasi', 'daftar', 'bayar', 'via', 'atm', 'selesai', 'tinggal', 'nunggu', 'kwh', 'mah', 'ribeet']",netral
81,"['informasi', 'perbarui', 'pemadaman', 'gangguan', 'bayar', 'tagihan', 'mudah', 'banget', 'fitur', 'monitoring', 'tagihan', 'jujur', 'terbantu', 'sih', 'terima', 'kasih', 'pln', 'berinovasi', 'pelayanan', 'terbaik', 'pelanggan']",netral
86,"['pusatnya', 'cepet', 'orang', 'lapangannya', 'jelek', 'aplikasi', 'masak', 'lapor', 'telpon', 'mengasih', 'penjelasan', 'orang', 'lokasi', 'maaf', 'tunggu', 'aja', 'aplikasi', 'nya', 'mengasih', 'informasi', 'tangani', 'tangani']",netral
87,"['aplikasi', 'bagus', 'mempermudah', 'pelanggan', 'informasi', 'seputaran', 'pln', 'terkhusus', 'pelanggan', 'pascabayar', 'mengirim', 'mencatat', 'pemakaian', 'bulanan', 'fitur', 'catat', 'meter', 'tanggal', 'langsung', 'estimasi', 'tagihan']",netral
89,"['membantu', 'bermanfaat', 'usaha', 'berjualan', 'pulsa', 'listrik', 'pelunasan', 'reklis', 'coba', 'market', 'place', 'pln', 'mobile', 'lho', 'ngembangin', 'usaha', 'ayo', 'gabung']",netral
91,"['aplikasinya', 'membantu', 'kali', 'input', 'tokennya', 'gagal', 'nomor', 'tokennya', 'pengaduan', 'jam', 'langsung', 'respon', 'input', 'token', 'beli', 'pln', 'mobile', 'joss']",netral
92,"['aplikasinya', 'membantu', 'telepon', 'cc', 'kekantor', 'pln', 'langsung', 'pln', 'mobile', 'dimana', 'pasang', 'ubah', 'daya', 'cek', 'tagihan', 'listrik', 'lapor', 'keluhan', 'gangguan', 'aplikasi']",netral
94,"['iconnet', 'iya', 'kak', 'muncul', 'iconnet', 'daftar', 'tercover']",netral
95,"['membantu', 'banget', 'deh', 'gangguan', 'listrik', 'malem', 'banget', 'pakai', 'fitur', 'pengaduan', 'enaknya', 'tracking', 'petugas', 'banget', 'daftar', 'daya', 'promo', 'aplikasi']",netral
103,"['transaksi', 'berhasil', 'saldo', 'rekening', 'berkurang', 'tagihan', 'sebentar', 'tanggal', 'kalo', 'ditangani', 'kena', 'denda', 'nih', 'brengsek', 'dasar', 'lemot', 'ngerefresh', 'iya', 'ilanglah', 'transaksinya']",netral
112,"['tolong', 'wifi', 'jalan', 'internetnya', 'status', 'aplikasi', 'bayar', 'bayar', 'tolong', 'adminnya', 'fast', 'respon']",netral
114,"['membantu', 'dipln', 'mobile', 'aplikasi', 'memudahkan', 'kekantor', 'mudah', 'teratasii', 'terima', 'kasih', 'pln']",netral
116,"['gangguan', 'tangani', 'komplainnya', 'koneksi', 'mulu']",netral
117,"['verifikasi', 'akunnya', 'bertele', 'tele', 'log', 'suruh', 'verifikasi', 'akun', 'biar', 'fitur', 'langsung']",netral
119,"['aplikasi', 'pln', 'mobile', 'bermanfaat', 'mengatasi', 'permasalahan', 'kelistrikan', 'rumah', 'download', 'wajib', 'unduh', 'ni', 'mudah']",netral
120,"['aplikasi', 'buruk', 'c', 'aplikasi', 'sekelas', 'pln', 'fiturnya', 'laporan', 'gangguan']",netral
121,"['aplikasi', 'memuaskan', 'pengajuan', 'layanan', 'berbelit', 'belit', 'chat', 'customer', 'pelayanan', 'sulit', 'ngetiknya', 'cepat', 'suka', 'layanan', 'cs', 'via', 'telepon']",netral
125,"['aplikasi', 'pembelian', 'token', 'listrik', 'gopay', 'masuk', 'saldo', 'gopay', 'terpotong', 'hubungi', 'cs', 'disuruh', 'email', 'email', 'disuruh', 'tunggu', 'listrik', 'rumah', 'mati', 'aplikasi']",netral
126,"['aplikasi', 'aplikasinya', 'kayak', 'data', 'aman', 'masuk']",netral
128,"['terbantu', 'pln', 'mobile', 'fitur', 'pembatalan', 'pengaduan']",netral
129,"['mengaktifkan', 'pengaturan', 'pemberitahuan', 'pemadaman', 'listrik', 'contoh', 'pemadaman', 'notifikasii']",netral
131,"['layanan', 'pengaduan', 'hilangkan', 'klik', 'teratasi', 'mengadu', 'teratasi', 'mananya', 'aplikasi']",netral
133,"['kemarin', 'bintang', 'bintang', 'lumayan', 'bagus', 'apl', 'a', 'kendala', 'a', 'saldonya', 'kasih', 'masuk', 'kemarin', 'ambil', 'pembayaran', 'nomor', 'token', 'a', 'mode', 'tukar', 'hadiah', 'a', 'rilis']",netral
134,"['laporan', 'meteran', 'tertulis', 'periksa', 'kirim', 'foto', 'kirim', 'foto', 'langsung', 'aplikasi', 'berkali', 'kali', 'iya', 'telepon', 'call', 'center', 'habis', 'pulsa', 'seenggaknya', 'rb', 'call', 'centernya', 'disarankan', 'lapor', 'aplikasi', 'kayak', 'diatas', 'iya', 'aplikasi']",netral
136,"['aplikasi', 'nya', 'mengapai', 'kalo', 'fungsi', 'nya', 'coba', 'hilang', 'jaringan', 'ya', 'bagus', 'centang', 'live', 'chat', 'skali']",netral
137,"['aplikasi', 'bagus', 'berguna', 'pemasang', 'lainya', 'terima', 'kasih', 'pln', 'mobile']",netral
141,"['mohon', 'maaf', 'menu', 'live', 'chat', 'error', 'mengetik', 'menunggu', 'antrian', 'kali', 'berkali', 'kali']",netral
142,"['membantu', 'kali', 'pengaduan', 'dilayani', 'susah', 'melapor', 'kantor', 'pln', 'susah', 'rumah', 'perbaiki', 'permasalahan', 'listrik', 'pokoknya', 'aplikasinya', 'bagus']",netral
148,"['tanggap', 'token', 'dipakai', 'gagal', 'pilih', 'pengaduan', 'menit', 'pln', 'telepon', 'dikasih', 'petunjuk']",netral
154,"['semenjak', 'perihal', 'pengembalian', 'dana', 'iconnet', 'whatsapp', 'csnya', 'balas', 'balas', 'pesan', 'menunggu', 'uang', 'direfund', 'terkait', 'gagal', 'pemasangan', 'internet', 'iconnet', 'jarak', 'tiang', 'please', 'butuh', 'pengembalian', 'dana', 'uang']",netral
155,"['pelayanan', 'iconnet', 'pln', 'mohon', 'proses', 'pasang', 'mudahkan', 'ketersediaan', 'jaringan', 'iconnet', 'lingkungan', 'jaringan', 'pakai', 'langganan', 'indihome', 'telkomsel', 'masyarakat', 'tertarik', 'iconnet', 'ganti', 'indihome', 'iconnet', 'pln', 'terealisasi', 'jaringan', 'mohon', 'ketersediaan', 'jaringannya', 'proses', 'pasang']",netral
156,"['aplikasi', 'nya', 'membantu', 'urusan', 'kelistrikan', 'beli', 'token', 'bayar', 'tagihan', 'kembangkan', 'bermanfaat']",netral
158,"['bintang', 'laporan', 'gangguan', 'listrik', 'sih', 'okeh', 'laporan', 'gangguan', 'internet', 'aplikasi', 'koneksi', 'seluler', 'sekenceng', 'mohon', 'diperbaiki']",netral
161,"['membayar', 'pemasangan', 'iconnet', 'aplikasi', 'pln', 'mobile', 'petugas', 'nya', 'pemasangan', 'tiang', 'pengaduan', 'aplikasi', 'mengembalikan', 'biaya', 'pemasangan', 'data', 'aplikasi', 'berubah', 'memasukan', 'id', 'pln', 'aplikasi', 'pengaduan', 'gagal', 'pengaduan', 'iconnet', 'pln', 'mobile']",netral
168,"['aplikasi', 'verifikasi', 'meningkatkan', 'akun', 'foto', 'ktp', 'hasil', 'proses', 'x', 'jam', 'sebulan', 'verifikasi', 'berhasil']",netral
169,"['aplikasi', 'bagus', 'penanganan', 'pelayanan', 'bagus', 'langsung', 'dikonfirmasi', 'djelaskan', 'kendala', 'ok', 'kedepannya']",netral
171,"['pendaftaran', 'pembayaran', 'pemasangan', 'internet', 'iconnet', 'kabar', 'informasi', 'pemasangan', 'nya', 'coba', 'menghubungi', 'nomor', 'whatsapp', 'iconnet', 'komputer', 'mohon', 'dibantu']",netral
172,"['membantu', 'cek', 'tagihan', 'beli', 'token', 'proses', 'pasang', 'daya', 'pengajuan', 'pengaduan', 'pemberitahuan', 'informasi', 'pemadaman']",netral
173,"['kerja', 'iconnet', 'tindak', 'via', 'wa', 'email', 'pln', 'iconnet', 'aplikasi', 'live', 'chat', 'lempar', 'aduh']",netral
179,"['potongan', 'harga', 'daya', 'beli', 'kompor', 'mitra', 'pln', 'tujuan', 'daya', 'biar', 'listrik', 'rumah', 'beli', 'kompor', 'kompornya', 'ih', 'pln', 'kasih', 'promo', 'daya', 'pasang', 'iconnet', 'lokasi', 'indak', 'jaringannya', 'menyulitkan', 'pelanggan', 'pln']",netral
181,"['aplikasi', 'membantu', 'turun', 'daya', 'aplikasi', 'penambahan', 'daya', 'mengurus', 'perubahan', 'dayanya', 'disuruh', 'app', 'aplikasinya', 'kayak', 'gini']",netral
184,"['memuaskan', 'aplikasi', 'penggunaan', 'token', 'listrik', 'kebelakang', 'muncul', 'kemarin']",netral
185,"['aplikasi', 'penyambungan', 'perubahan', 'daya', 'selesai', 'kenyataan', 'selesai', 'petugas', 'kerumah', 'menghubungi', 'error', 'aplikasi', 'nya']",netral
187,"['mengirim', 'pengaduan', 'kadang', 'gagal', 'tulisan', 'aplikasi', 'terhubung', 'server', 'sinyal', 'bagus', 'diperbaiki', 'server']",netral
192,"['daftar', 'aplikasi', 'gagal', 'tersambung', 'server', 'mohon', 'diperbaiki']",netral
200,"['kali', 'isi', 'token', 'pembayaran', 'berhasil', 'aplikasinya', 'masuk', 'rugi', 'nomor', 'token']",netral
201,"['servernya', 'mohon', 'perbaiki', 'laporan', 'gangguan', 'pln', 'terbaik', 'integritas', 'handal', 'terbaik']",netral
212,"['aplikasi', 'memanjakan', 'pelanggan', 'fitur', 'komplit', 'kebutuhan', 'pelanggan', 'terkait', 'informasi', 'pln', 'difasilitasi', 'suka', 'beli', 'token', 'biaya', 'layanan', 'bank', 'an', 'i', 'semoga', 'promo']",netral
217,"['terima', 'kasih', 'pln', 'mobile', 'memudahkan', 'kalo', 'mati', 'listrik', 'kekantornya', 'tinggal', 'laporan', 'pln', 'mobile', 'oke', 'dibagian', 'pembayaran', 'semoga']",netral
218,"['bolak', 'perbarui', 'tros', 'semoga', 'pilihan', 'perbarui', 'pakai', 'versi', 'hp', 'pelanggan', 'memorinya', 'bagus', 'kadang', 'nyukupin', 'perbarui', 'aplikasi', 'terima', 'kasih', 'pln', 'follow', 'up', 'permasalahan', 'ditunggu', 'tindak']",netral
219,"['aplikasi', 'membantu', 'tolong', 'tingkatkan', 'menu', 'status', 'permohonan', 'konsumen', 'mengecek', 'status', 'permohonan', 'pb', 'pd', 'cetak', 'spk', 'belom', 'terima', 'kasih']",netral
221,"['nama', 'alias', 'idpel', 'berubah', 'diganti', 'disave', 'nama', 'halaman', 'idpel']",netral
223,"['aplikasinya', 'membantu', 'disaat', 'mati', 'lampu', 'keluh', 'kesah', 'aplikasi', 'pemberitahuan', 'kalo', 'perbaikan', 'jaringan', 'daerah', 'mudah', 'an', 'pelayanannya', 'bagus', 'terima', 'kasih', 'pln']",netral
225,"['layanan', 'live', 'chatnya', 'membantu', 'antriannya', 'merespon', 'menit', 'ulang']",netral
226,"['aplikasi', 'membantu', 'menginfokan', 'pemadaman', 'tagihan', 'pasang', 'migrasa', 'daya', 'gangguan', 'kantor', 'pln', 'aplikasinya', 'mudah']",netral
229,"['aplikasi', 'pln', 'mobile', 'informasi', 'tagihan', 'daya', 'pengaduan', 'mudah', 'aplikasi', 'pln', 'mobile']",netral
231,"['pln', 'mobile', 'bagus', 'aja', 'fitur', 'tambahan', 'menarik', 'pengumpulan', 'poin', 'voucher', 'undian', 'berhadiah', 'sayang', 'pokoknya', 'mantab', 'layak', 'kasih', 'bintang', 'terima', 'kasih', 'pln', 'mobile']",netral
237,"['aplikasi', 'membantu', 'pengaduan', 'pembayaran', 'listrik', 'didukung', 'banyaknya', 'fitur', 'didalamnya']",netral
239,"['aplikasi', 'bagus', 'membantu', 'pelayanan', 'gangguan', 'pelayanan', 'daya', 'pasang', 'loss', 'strom']",netral
243,"['aplikasi', 'membantu', 'pasang', 'daya', 'aplikasi', 'laporan', 'gangguan', 'aplikasi', 'kantor', 'pln']",netral
246,"['aplikasi', 'membantu', 'mempermudah', 'penanganan', 'kelistrikan', 'bayar', 'tag', 'listrik', 'beli', 'token', 'info', 'pemadaman', 'lap', 'gangguan', 'listrik', 'kantor', 'pln']",netral
251,"['aplikasi', 'bermanfaat', 'berpergian', 'informasi', 'listrik', 'akses', 'mudah']",netral
261,"['mempermudah', 'pengecekan', 'tagihan', 'daya', 'pasang', 'lagii', 'terima', 'kasih', 'pln', 'mobile']",netral
263,"['membantu', 'tagihan', 'pengaduan', 'pasang', 'daya', 'migrasi', 'informasi', 'terkini', 'pln']",netral
264,"['aplikasi', 'bagus', 'membantu', 'permasalahan', 'kelistrikan', 'area', 'pemadaman', 'pasang', 'data', 'migrasi', 'terima', 'kasih', 'pln']",netral
266,"['ribet', 'pelajari', 'manfaatnya', 'mudah', 'pelaporan', 'gangguan', 'daya', 'terima', 'kasih', 'pln']",netral
272,"['aplikasi', 'membantu', 'informasi', 'pemadaman', 'tagihan', 'pasang', 'migrasi', 'daya', 'pengaduan', 'menghemat', 'kantor', 'pln']",netral
273,"['aplikasi', 'membantu', 'informasi', 'pemadaman', 'tagihan', 'pasang', 'daya', 'kantor', 'pln']",netral
274,"['aplikasinya', 'bagus', 'fitur', 'belanja', 'komplit', 'bersaing', 'semoga', 'fiturnya', 'bertambah']",netral
277,"['aplikasi', 'eror', 'bermutu', 'pelayanan', 'sesuai', 'jadwal', 'ditentukan', 'pembayaran', 'tanggal', 'mei', 'tanggapan', 'kerja', 'respon', 'aplikasi', 'kayak', 'aplikasi', 'bermutu', 'uangnya', 'aplikasi', 'abal', 'abal', 'mendaftar', 'agen', 'langsung', 'pasang', 'aplikasi', 'pln', 'mobile']",netral
282,"['heran', 'daftar', 'bayar', 'terhubung', 'whatsapp', 'respon', 'pemasangan', 'jaringannya', 'heran']",netral
283,"['terbantu', 'aplikasi', 'semoga', 'fitur', 'andalan']",netral
284,"['tersajikan', 'informasi', 'tagihan', 'listrik', 'bulanannya', 'turunnya', 'pemakaian', 'listrik', 'mencatatkan', 'angka', 'stand', 'meternya', 'sesuai', 'dituliskan']",netral
288,"['habis', 'perbarui', 'data', 'tagihan', 'membantu', 'bintang', 'kalo']",netral
289,"['aplikasi', 'pln', 'sg', 'error', 'ya', 'perbarui', 'error', 'enak', 'beli', 'token', 'listrik', 'aplikasi', 'pln', 'mudah', 'ribet', 'tolong', 'diperbaiki', 'aplikasi', 'nya', 'ya']",netral
290,"['aplikasi', 'berguna', 'fungsinya', 'coba', 'aplikasi', 'jelek', 'unduh', 'menyesal', 'aplikasi', 'bergunaa']",netral
292,"['aplikasi', 'faedahnya', 'beli', 'token', 'no', 'vouchernya', 'aplikasi', 'makan', 'uang', 'negara']",netral
294,"['aplikasi', 'pln', 'jaringan', 'iconnet', 'tercover', 'registrasi', 'besoknya', 'whatsapp', 'jaringan', 'iconnet', 'tahap', 'pembangunan', 'wilayah', 'tahap', 'pembangunan', 'selesai']",netral
296,"['maaf', 'min', 'aplikasi', 'pln', 'mobile', 'nya', 'bayar', 'linkaja', 'error', 'tolong', 'perbaikannya']",netral
297,"['aplikasi', 'bagus', 'kali', 'laporan', 'pengaduan', 'laporan', 'teratasi', 'mohon', 'konsisten', 'pelayanan', 'terima', 'kasih']",netral
299,"['aplikasi', 'membantu', 'pembayaran', 'pln', 'mengecek', 'sisa', 'token', 'pengaduan', 'mengalami', 'kendala', 'prosesnya', 'terima', 'kasih']",netral
300,"['unggah', 'foto', 'kamera', 'ngeblur', 'ganti', 'hp', 'bagus', 'hasil', 'nya', 'kamera', 'foto', 'hasilnya', 'bagus', 'aplikasi', 'hasilnya', 'bagus']",netral
303,"['aplikasi', 'tahi', 'kendala', 'dihubungin', 'telepon', 'cs', 'email', 'respon']",netral
305,"['sih', 'wifi', 'pasang', 'rumah', 'suruh', 'bayar', 'biaya', 'bulanan', 'nya', 'aplikasi', 'kayak', 'mainan', 'anak', 'aja']",netral
306,"['membantu', 'adamasalah', 'pasang', 'daya', 'pengaduan', 'gangguan', 'buktikan']",netral
307,"['sesuai', 'harapan', 'alasan', 'petugas', 'lapangan', 'alasan', 'bertambah', 'biaya', 'tarik', 'kabel', 'lumayan', 'instalasi', 'paralel', 'rumah', 'biar', 'uang']",netral
310,"['membantu', 'unduh', 'mempermudah', 'informasi', 'tagihan', 'informasi', 'jamannya', 'komputerisasi', 'sistem', 'informasinya', 'mudah', 'diakses', 'auto', 'uninstal']",netral
315,"['aplikasi', 'bagus', 'pln', 'mobile', 'mohon', 'pengajuan', 'pasang', 'pln', 'mobile', 'diperlancar', 'aplikasi', 'formalitas', 'erik', 'tohir', 'bumn', 'kayak']",netral
318,"['aplikasi', 'membantu', 'mudah', 'ngecek', 'beli', 'token', 'pengaduan', 'pln', 'terbaik']",netral
321,"['pelayanan', 'mengecewakan', 'mengajukan', 'pengembalian', 'dana', 'permohonan', 'dibatalkan', 'alasan', 'jaringan', 'pln', 'realisasi', 'tolonglah', 'dikembalikan', 'uang']",netral
322,"['aplikasi', 'membantu', 'bagus', 'up', 'token', 'listrik', 'prabayar', 'pasca', 'bayar', 'tagihan', 'langsung', 'aplikasi', 'berguna']",netral
323,"['verifikasi', 'versi', 'nya', 'enak', 'verifikasi', 'kadang', 'loading', 'nya', 'gagal', 'terhubung', 'servernya']",netral
330,"['alhamdulillaah', 'aplikasinya', 'mantab', 'membantu', 'beli', 'token', 'bayar', 'tagihan', 'pln', 'terbaik']",netral
331,"['edited', 'done', 'fitur', 'chat', 'nya', 'gaje', 'nulis', 'call', 'nya', 'oke', 'fast', 'respon', 'ya']",netral
335,"['aplikasinya', 'membantu', 'memudahkan', 'membeli', 'token', 'info', 'pemadaman', 'semoga', 'kedepannya', 'ditingkatkan']",netral
336,"['proses', 'transaksi', 'berjalan', 'transfer', 'status', 'menunggu', 'pembayaran', 'tolong', 'dibantu', 'diatasi']",netral
347,"['ngk', 'nyesal', 'unduh', 'aplikasi', 'aplikasi', 'membantu', 'butuhkan', 'aplikasi', 'kantor', 'laporan', 'gangguan', 'terima', 'kasih', 'pln', 'is', 'the', 'best']",netral
348,"['cs', 'fitur', 'live', 'chat', 'nya', 'tolong', 'ditambah', 'iya', 'memperlambat', 'pengaduan', 'jam', 'perbarui', 'fitur', 'nya', 'kadang', 'error']",netral
351,"['naikin', 'bintang', 'lumayan', 'bagus', 'cepet', 'pertahankan', 'tingkatkan', 'bagus', 'diskon', 'pembelian', 'token', 'terima', 'kasih']",netral
353,"['bintang', 'ya', 'aplikasinya', 'bagus', 'pengembalian', 'dana', 'cobalah', 'otomatis', 'apk', 'pakai', 'rumit', 'bayarnya', 'gampang', 'cepat', 'apk', 'terkendala', 'mohon', 'kembalikan', 'uang', 'pelanggan', 'otomatis', 'apk', 'kasih', 'rumit', 'mulainya', 'aplikasi', 'selesainya', 'aplikasi', 'pakai', 'isi', 'formulir', 'proses', 'relatif', 'pelanggan', 'sulit', 'uang', 'nya', 'kembli', 'mohon', 'pertimbangkan']",netral
368,"['membantu', 'pelanggan', 'melaporkan', 'keluhan', 'gangguan', 'memudahkan', 'daya', 'pasang', 'bintang', 'deh', 'pokoknya']",netral
369,"['aplikasi', 'bagus', 'mempermudah', 'pelayanan', 'pembayaran', 'pengaduan', 'pengaduan', 'gangguan', 'diharapkan', 'aplikasi']",netral
371,"['seminggu', 'beli', 'token', 'nomor', 'token', 'nya', 'muncul', 'status', 'menunggu', 'pembayaran', 'alhasil', 'beli', 'token', 'aplikasi', 'mengecewakan']",netral
373,"['pasang', 'listrik', 'sulit', 'lembaga', 'pln', 'urus', 'sertifikat', 'nomor', 'syarat', 'pasang', 'berpikir', 'luas', 'orang', 'awam', 'kasihan', 'pln', 'sloganya', 'bagus', 'nomor', 'suap', 'mengurus', 'pln', 'menyusahkan', 'orang', 'orang', 'awam', 'mengerti']",netral
374,"['membantu', 'proses', 'transaksi', 'pembayaran', 'listrik', 'pembelian', 'token', 'semoga', 'bermanfaat', 'terima', 'kasih']",netral
376,"['aplikasi', 'loading', 'tersambung', 'server', 'kualitas', 'jaringan', 'internet', 'ditempat', 'tolong', 'dibenahi']",netral
377,"['aplikasi', 'membantu', 'informasi', 'kelistrikan', 'mudah', 'simple']",netral
381,"['ma', 'af', 'ubah', 'review', 'nya', 'karna', 'nomor', 'id', 'pelanggan', 'pascabayar', 'prabayar', 'berubah', 'aplikasi', 'pln', 'kesulitan', 'beli', 'token', 'nya', 'aplikasi', 'pln']",netral
391,"['aduh', 'aplikasi', 'bantuan', 'chat', 'menunggu', 'antrian', 'belasan', 'menit', 'aplikasi', 'beli', 'token', 'langsung', 'berhasil', 'beli', 'token', 'k', 'udah', 'bayar', 'jam', 'berhasil', 'bantuan', 'chat', 'aduh', 'parah', 'banget', 'pingin', 'pakai', 'wajan']",netral
393,"['halo', 'kak', 'mohon', 'ulasan', 'dibaca', 'coba', 'hubungi', 'cs', 'antriannya', 'banget', 'coba', 'ulasan', 'transaksi', 'pembayaran', 'listrik', 'tanggal', 'juni', 'juni', 'keterangannya', 'proses', 'bayar', 'pastikan', 'saldo', 'e', 'wallet', 'berkurang', 'mohon', 'ditanggapi', 'iya', 'kak']",netral
397,"['aplikasi', 'dibuka', 'pemberitahuan', 'error', 'internet', 'lancar', 'niat', 'aplikasi', 'siihh']",netral
398,"['aplikasi', 'jelek', 'live', 'chat', 'nya', 'menulus', 'keluhan', 'pembelian', 'aplikasi', 'menunggu', 'pembayaran', 'beli', 'aplikasi', 'pln', 'mobile', 'token', 'muncul', 'pembayaran', 'kadaluarsa']",netral
